Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, RateFactor, Y PSNR, U PSNR, V PSNR, YUV PSNR, SSIM, SSIM(dB), Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
20, P-SLICE,   20, 34.45,       4688, 0,0.00,28.000,40.282, 48.546, 48.816, 42.382, 0.940523, 12.257,0, 19 18 17 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.81%, 0.81%,  0.54%,  0.40%,  2.02%,  9.18%,  0.00%,  0.40%,  0.54%,  1.62%, 53.58%, 23.48%,  1.75%,  4.86%, 24950.14, 1805.23, 6277.68, 25338.17 , 18, 253, 117.64, 75, 150, 130.99, 90, 180, 129.22, 0.00%, 99.00%,0.00%, 1.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.33%,0.00%, 1.11%, 0.56%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 53.12%,0.00%, 31.25%, 15.62%, 0.00%, 0.00%, 0.00%, 0.00%, 4.92%, 39.34%,0.00%, 23.77%, 31.97%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 15.0, 0.0, 67.0, 0.0, 20.0, 5.980, 138
21, P-SLICE,   21, 34.44,       5488, 0,0.00,28.000,40.273, 48.543, 48.792, 42.371, 0.940401, 12.248,0, 20 19 18 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.27%, 2.02%,  0.13%,  0.67%,  1.21%,  9.01%,  0.00%,  0.27%,  0.67%,  2.96%, 53.49%, 24.33%,  2.55%,  2.42%, 24993.55, 1811.89, 6282.90, 25472.16 , 18, 253, 117.63, 75, 150, 130.98, 90, 180, 129.22, 0.00%, 99.75%,0.00%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.33%,0.00%, 2.14%, 0.53%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 72.73%,0.00%, 12.12%, 15.15%, 0.00%, 0.00%, 0.00%, 0.00%, 1.83%, 36.70%,0.00%, 31.19%, 30.28%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 15.0, 0.0, 72.0, 0.0, 20.0, 6.038, 110
22, P-SLICE,   22, 35.48,        816, 0,0.00,28.000,40.273, 48.543, 48.792, 42.371, 0.940401, 12.248,0, 21 20 19 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.35%,  0.18%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 72.70%, 26.77%,  0.00%,  0.00%, 25010.49, 1810.73, 6290.08, 25012.62 , 18, 253, 117.63, 75, 150, 130.98, 90, 180, 129.22, 0.00%, 99.51%,0.00%, 0.49%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.34%,0.00%, 0.66%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 5.0, 1.0, 13.0, 0.0, 72.0, 0.0, 18.0, 8.756, 150
23, P-SLICE,   23, 34.43,       5368, 0,0.00,28.000,40.262, 48.559, 48.793, 42.365, 0.940353, 12.244,0, 22 21 20 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.13%, 0.00%,  0.00%,  0.27%, 1.08%,  0.00%,  0.40%,  1.62%,  9.45%,  0.00%,  0.67%,  0.40%,  2.56%, 53.71%, 24.97%,  1.89%,  2.83%, 25062.66, 1807.17, 6278.14, 25603.74 , 18, 253, 117.64, 75, 150, 130.98, 90, 180, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.44%,0.00%, 1.56%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 3.33%, 56.67%,0.00%, 23.33%, 16.67%, 0.00%, 0.00%, 0.00%, 0.00%, 1.79%, 35.71%,0.00%, 33.04%, 29.46%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 7.0, 0.0, 15.0, 0.0, 69.0, 0.0, 21.0, 5.907, 76
24, P-SLICE,   24, 34.43,       5552, 0,0.00,28.000,40.269, 48.538, 48.808, 42.370, 0.940400, 12.248,0, 23 22 21 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.66%, 1.06%,  0.40%,  0.93%,  1.06%, 11.77%,  0.00%,  0.53%,  0.66%,  3.44%, 52.38%, 23.54%,  1.46%,  2.12%, 25032.68, 1810.68, 6288.55, 25527.71 , 18, 253, 117.64, 75, 150, 130.99, 90, 180, 129.22, 0.00%, 99.25%,0.00%, 0.75%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 96.30%,0.00%, 2.65%, 1.06%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 66.67%,0.00%, 12.50%, 20.83%, 0.00%, 0.00%, 0.00%, 0.00%, 3.68%, 30.88%,0.00%, 27.21%, 38.24%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 6.0, 0.0, 15.0, 0.0, 66.0, 0.0, 21.0, 5.273, 119
25, P-SLICE,   25, 34.44,       5312, 0,0.00,28.000,40.271, 48.537, 48.825, 42.373, 0.940425, 12.249,0, 24 23 22 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.13%,  0.00%,  0.40%, 1.32%,  0.26%,  0.66%,  1.58%, 12.52%,  0.00%,  0.00%,  0.13%,  1.32%, 52.83%, 22.00%,  1.45%,  5.40%, 25012.61, 1805.65, 6278.14, 25380.18 , 18, 253, 117.64, 75, 150, 130.98, 90, 180, 129.22, 0.00%, 99.50%,0.00%, 0.25%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.09%,0.00%, 1.74%, 1.16%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 50.00%,0.00%, 25.00%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%, 2.67%, 34.00%,0.00%, 38.67%, 24.67%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 6.0, 0.0, 15.0, 0.0, 64.0, 0.0, 21.0, 5.220, 114
26, P-SLICE,   26, 34.44,       5208, 0,0.00,28.000,40.261, 48.527, 48.837, 42.366, 0.940368, 12.245,0, 25 24 23 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.55%, 2.06%,  0.41%,  0.14%,  1.51%,  9.60%,  0.00%,  0.00%,  0.27%,  1.10%, 54.87%, 23.73%,  1.51%,  4.25%, 25078.66, 1805.26, 6286.75, 25501.83 , 18, 253, 117.64, 75, 150, 130.98, 90, 180, 129.22, 0.00%, 99.26%,0.00%, 0.00%, 0.74%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.43%,0.00%, 0.57%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 54.17%,0.00%, 29.17%, 16.67%, 0.00%, 0.00%, 0.00%, 0.00%, 3.54%, 34.51%,0.00%, 39.82%, 22.12%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 1.0, 13.0, 0.0, 61.0, 0.0, 19.0, 5.756, 108
27, P-SLICE,   27, 34.44,       5248, 0,0.00,28.000,40.261, 48.541, 48.830, 42.367, 0.940329, 12.242,0, 26 25 24 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.13%,  0.27%, 0.40%,  0.27%,  0.27%,  1.89%, 10.66%,  0.00%,  0.27%,  0.27%,  0.54%, 54.12%, 22.81%,  1.21%,  6.88%, 25072.74, 1803.69, 6289.80, 25552.02 , 18, 253, 117.64, 75, 150, 130.98, 90, 180, 129.22, 0.00%, 99.50%,0.00%, 0.25%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.84%,0.00%, 1.16%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 44.00%,0.00%, 20.00%, 36.00%, 0.00%, 0.00%, 0.00%, 0.00%, 2.19%, 40.15%,0.00%, 27.01%, 30.66%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 15.0, 0.0, 63.0, 0.0, 20.0, 5.651, 110
28, P-SLICE,   28, 35.48,       1200, 0,0.00,28.000,40.263, 48.543, 48.837, 42.370, 0.940346, 12.244,0, 27 26 25 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.71%,  0.35%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 71.78%, 27.16%,  0.00%,  0.00%, 25061.91, 1802.94, 6292.65, 25074.78 , 18, 253, 117.64, 75, 150, 130.98, 90, 180, 129.22, 0.00%, 99.03%,0.00%, 0.97%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.72%,0.00%, 1.28%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 5.0, 1.0, 12.0, 0.0, 67.0, 0.0, 17.0, 8.131, 143
29, P-SLICE,   29, 34.44,       5576, 0,0.00,28.000,40.267, 48.533, 48.847, 42.373, 0.940468, 12.252,0, 28 27 26 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.14%,  0.00%, 1.10%,  0.41%,  0.41%,  2.20%, 10.06%,  0.00%,  0.41%,  0.00%,  0.00%, 54.96%, 23.69%,  1.38%,  5.23%, 25076.79, 1802.10, 6280.31, 25567.23 , 18, 253, 117.64, 75, 150, 130.99, 90, 180, 129.22, 0.00%, 99.25%,0.00%, 0.50%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.31%,0.00%, 0.56%, 1.12%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 38.46%,0.00%, 34.62%, 26.92%, 0.00%, 0.00%, 0.00%, 0.00%, 0.89%, 33.93%,0.00%, 29.46%, 35.71%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 6.0, 1.0, 15.0, 0.0, 69.0, 0.0, 21.0, 5.678, 99
30, P-SLICE,   30, 34.44,       5912, 0,0.00,28.000,40.393, 48.583, 48.816, 42.470, 0.942453, 12.400,0, 29 28 27 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.14%,  0.00%,  0.55%, 1.11%,  0.83%,  0.41%,  1.94%,  9.54%,  0.00%,  0.55%,  0.69%,  1.66%, 54.77%, 23.51%,  1.80%,  2.49%, 24399.05, 1800.29, 6104.00, 25024.49 , 18, 253, 117.66, 75, 150, 131.02, 90, 180, 129.25, 0.00%, 98.51%,0.00%, 0.50%, 1.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.31%,0.00%, 1.69%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 56.25%,0.00%, 25.00%, 18.75%, 0.00%, 0.00%, 0.00%, 0.00%, 4.81%, 28.85%,0.00%, 35.58%, 30.77%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 16.0, 0.0, 64.0, 0.0, 21.0, 5.471, 95
31, P-SLICE,   31, 34.45,       5328, 0,0.00,28.000,40.337, 48.595, 48.799, 42.427, 0.941622, 12.338,0, 30 29 28 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.14%, 0.00%,  0.00%,  0.28%, 1.54%,  0.70%,  0.28%,  1.68%,  9.10%,  0.00%,  0.14%,  0.98%,  1.68%, 55.88%, 23.25%,  1.82%,  2.52%, 24635.09, 1798.39, 6169.41, 25228.01 , 18, 253, 117.67, 75, 150, 130.99, 90, 180, 129.23, 0.00%, 98.76%,0.00%, 0.50%, 0.74%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.82%,0.00%, 1.18%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 3.03%, 60.61%,0.00%, 15.15%, 21.21%, 0.00%, 0.00%, 0.00%, 0.00%, 2.06%, 30.93%,0.00%, 31.96%, 35.05%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 6.0, 0.0, 14.0, 0.0, 58.0, 0.0, 19.0, 5.664, 49
32, P-SLICE,   32, 34.45,       6000, 0,0.00,28.000,40.326, 48.574, 48.825, 42.419, 0.941255, 12.310,0, 31 30 29 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.26%, 0.92%,  0.26%,  0.79%,  1.44%, 10.24%,  0.00%,  0.66%,  0.39%,  1.18%, 51.97%, 23.49%,  3.15%,  5.25%, 24709.80, 1797.59, 6199.74, 25419.69 , 18, 253, 117.66, 75, 150, 130.99, 90, 180, 129.22, 0.00%, 99.50%,0.00%, 0.25%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 96.84%,0.00%, 2.63%, 0.53%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 71.05%,0.00%, 18.42%, 10.53%, 0.00%, 0.00%, 0.00%, 0.00%, 1.55%, 37.98%,0.00%, 24.81%, 35.66%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 6.0, 0.0, 15.0, 0.0, 66.0, 0.0, 21.0, 5.324, 187
33, P-SLICE,   33, 34.46,       5016, 0,0.00,28.000,40.296, 48.569, 48.798, 42.393, 0.940952, 12.288,0, 32 31 30 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 1.29%,  0.57%,  0.43%,  1.72%,  8.76%,  0.00%,  0.14%,  0.43%,  1.44%, 57.47%, 23.99%,  2.01%,  1.72%, 24871.75, 1804.41, 6230.33, 25409.30 , 18, 253, 117.65, 75, 150, 130.99, 90, 180, 129.22, 0.00%, 99.01%,0.00%, 0.74%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.25%,0.00%, 1.75%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 58.62%,0.00%, 27.59%, 13.79%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 26.51%,0.00%, 40.96%, 32.53%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 6.0, 0.0, 14.0, 0.0, 64.0, 0.0, 20.0, 5.700, 120
34, P-SLICE,   34, 35.60,        872, 0,0.00,28.000,40.296, 48.568, 48.800, 42.393, 0.940968, 12.289,0, 33 32 31 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.71%,  0.18%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 71.78%, 27.34%,  0.00%,  0.00%, 24866.93, 1803.54, 6231.12, 24872.11 , 18, 253, 117.65, 75, 150, 130.99, 90, 180, 129.22, 0.00%, 99.03%,0.00%, 0.97%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.36%,0.00%, 0.64%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 5.0, 0.0, 12.0, 0.0, 58.0, 0.0, 17.0, 7.649, 125
35, P-SLICE,   35, 34.46,       5784, 0,0.00,28.000,40.294, 48.541, 48.787, 42.387, 0.940877, 12.282,0, 34 33 32 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.39%, 0.90%,  0.51%,  0.64%,  1.29%, 11.84%,  0.00%,  0.26%,  0.39%,  1.67%, 50.71%, 23.68%,  1.93%,  5.79%, 24878.01, 1812.03, 6235.04, 25437.12 , 18, 253, 117.65, 75, 150, 130.99, 90, 180, 129.22, 0.00%, 98.99%,0.00%, 0.75%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.38%,0.00%, 1.57%, 1.05%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 64.29%,0.00%, 21.43%, 14.29%, 0.00%, 0.00%, 0.00%, 0.00%, 1.96%, 37.91%,0.00%, 30.72%, 29.41%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 1.0, 13.0, 0.0, 56.0, 0.0, 19.0, 5.671, 72
36, P-SLICE,   36, 34.45,       5968, 0,0.00,28.000,40.285, 48.555, 48.814, 42.385, 0.940731, 12.272,0, 35 34 33 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.13%, 0.00%,  0.00%,  0.26%, 1.29%,  0.00%,  0.51%,  0.77%, 10.42%,  0.00%,  0.00%,  0.00%,  0.00%, 51.09%, 24.58%,  2.83%,  8.11%, 24930.82, 1805.56, 6254.34, 25636.60 , 18, 253, 117.65, 75, 150, 130.99, 90, 180, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.95%,0.00%, 1.54%, 0.51%, 0.00%, 0.00%, 0.00%, 0.00%, 3.45%, 75.86%,0.00%, 13.79%, 6.90%, 0.00%, 0.00%, 0.00%, 0.00%, 1.37%, 43.15%,0.00%, 21.92%, 33.56%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 14.0, 0.0, 59.0, 0.0, 19.0, 5.682, 89
37, P-SLICE,   37, 33.95,       5992, 0,0.00,28.000,40.294, 48.556, 48.748, 42.384, 0.940829, 12.279,0, 36 35 34 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.13%,  0.00%,  0.53%, 1.59%,  0.40%,  0.26%,  1.06%,  9.52%,  0.00%,  0.66%,  1.46%,  1.59%, 52.51%, 23.15%,  2.51%,  4.63%, 24955.16, 1809.39, 6250.76, 25653.15 , 18, 253, 117.64, 75, 150, 130.99, 90, 180, 129.22, 0.00%, 99.25%,0.00%, 0.25%, 0.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.90%,0.00%, 1.10%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 78.95%,0.00%, 18.42%, 2.63%, 0.00%, 0.00%, 0.00%, 0.00%, 4.03%, 37.90%,0.00%, 22.58%, 35.48%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 6.0, 0.0, 14.0, 0.0, 61.0, 0.0, 20.0, 5.747, 28
38, P-SLICE,   38, 33.54,       6120, 0,0.00,28.000,40.267, 48.542, 48.806, 42.369, 0.940522, 12.256,0, 37 36 35 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.13%,  0.00%,  0.67%, 1.61%,  0.81%,  0.94%,  2.69%,  6.59%,  0.00%,  0.67%,  0.54%,  1.48%, 52.15%, 26.21%,  2.55%,  2.96%, 25077.95, 1808.84, 6258.68, 25789.88 , 18, 253, 117.64, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 98.48%,0.00%, 0.51%, 1.02%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 96.62%,0.00%, 1.93%, 1.45%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 53.49%,0.00%, 25.58%, 20.93%, 0.00%, 0.00%, 0.00%, 0.00%, 6.82%, 37.50%,0.00%, 28.41%, 27.27%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 4.0, 0.0, 17.0, 0.0, 68.0, 0.0, 21.0, 5.353, 129
39, P-SLICE,   39, 34.47,       5880, 0,0.00,28.000,40.274, 48.526, 48.800, 42.371, 0.940488, 12.254,0, 38 37 36 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.13%,  0.00%, 1.57%,  0.52%,  0.52%,  1.84%,  8.27%,  0.00%,  0.39%,  1.05%,  0.79%, 51.44%, 25.07%,  2.36%,  6.04%, 24996.02, 1812.93, 6276.75, 25597.46 , 18, 253, 117.64, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 98.99%,0.00%, 1.01%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.98%,0.00%, 1.01%, 1.01%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 65.00%,0.00%, 17.50%, 17.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.86%, 44.83%,0.00%, 35.34%, 18.97%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 21.0, 0.0, 90.0, 0.0, 26.0, 5.724, 118
40, P-SLICE,   40, 36.00,        840, 0,0.00,28.000,40.267, 48.526, 48.800, 42.366, 0.940465, 12.252,0, 39 38 37 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.17%,  0.35%,  0.17%,  0.00%,  0.00%,  1.04%,  0.00%,  0.00%, 70.83%, 26.91%,  0.52%,  0.00%, 25002.58, 1812.60, 6286.77, 25002.58 , 18, 253, 117.64, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 99.76%,0.00%, 0.24%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.77%,0.00%, 1.23%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 75.00%,0.00%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 7.0, 0.0, 13.0, 0.0, 83.0, 0.0, 20.0, 8.378, 113
41, P-SLICE,   41, 34.45,       5320, 0,0.00,28.000,40.279, 48.547, 48.769, 42.373, 0.940697, 12.269,0, 40 39 38 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.14%, 0.00%,  0.00%,  1.11%, 1.66%,  1.24%,  0.55%,  1.38%,  7.33%,  0.00%,  0.14%,  0.41%,  0.28%, 53.80%, 26.28%,  1.66%,  4.01%, 25054.18, 1814.89, 6284.01, 25515.66 , 18, 253, 117.64, 75, 150, 130.98, 89, 180, 129.22, 0.00%, 97.74%,0.00%, 2.01%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.95%,0.00%, 2.05%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 3.85%, 57.69%,0.00%, 19.23%, 19.23%, 0.00%, 0.00%, 0.00%, 0.00%, 8.70%, 33.70%,0.00%, 32.61%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 7.0, 0.0, 16.0, 0.0, 73.0, 0.0, 22.0, 5.460, 62
42, P-SLICE,   42, 34.47,       6008, 0,0.00,28.000,40.266, 48.552, 48.765, 42.364, 0.940463, 12.252,0, 41 40 39 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.13%,  0.40%, 1.46%,  0.27%,  0.40%,  1.59%,  9.43%,  0.00%,  0.66%,  0.93%,  1.46%, 52.32%, 25.50%,  1.86%,  3.59%, 25038.96, 1814.33, 6290.79, 25733.86 , 18, 253, 117.63, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 99.49%,0.00%, 0.51%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.50%,0.00%, 1.00%, 0.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 63.64%,0.00%, 24.24%, 12.12%, 0.00%, 0.00%, 0.00%, 0.00%, 3.54%, 33.63%,0.00%, 38.05%, 24.78%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 6.0, 0.0, 15.0, 0.0, 69.0, 0.0, 20.0, 5.784, 111
43, P-SLICE,   43, 34.47,       5448, 0,0.00,28.000,40.257, 48.552, 48.784, 42.360, 0.940443, 12.251,0, 42 41 40 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.83%, 1.24%,  0.28%,  0.55%,  1.11%,  9.54%,  0.00%,  0.69%,  0.00%,  0.28%, 55.33%, 23.37%,  2.63%,  4.15%, 25111.80, 1810.01, 6292.08, 25789.17 , 18, 253, 117.64, 75, 150, 130.98, 89, 180, 129.22, 0.00%, 99.50%,0.00%, 0.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.75%,0.00%, 2.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 70.37%,0.00%, 18.52%, 11.11%, 0.00%, 0.00%, 0.00%, 0.00%, 5.61%, 29.91%,0.00%, 35.51%, 28.97%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 17.0, 0.0, 75.0, 0.0, 22.0, 5.289, 174
