Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, RateFactor, Y PSNR, U PSNR, V PSNR, YUV PSNR, SSIM, SSIM(dB), Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
10, P-SLICE,   10, 36.00,        784, 0,0.00,28.000,40.232, 48.537, 48.718, 42.331, 0.940401, 12.248,0, 9 8 7 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.53%,  0.18%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 71.40%, 27.89%,  0.00%,  0.00%, 25225.99, 1827.10, 6507.79, 25225.99 , 19, 253, 118.65, 75, 149, 131.00, 90, 180, 129.23, 0.00%, 99.27%,0.00%, 0.73%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.38%,0.00%, 0.62%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 6.0, 0.0, 12.0, 0.0, 64.0, 0.0, 17.0, 8.358, 132
11, P-SLICE,   11, 34.43,       5320, 0,0.00,28.000,40.236, 48.530, 48.719, 42.333, 0.940342, 12.243,0, 10 9 8 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.13%, 1.05%,  0.66%,  0.39%,  1.71%,  8.66%,  0.00%,  0.00%,  0.39%,  2.49%, 51.57%, 24.54%,  2.89%,  5.51%, 25219.91, 1828.44, 6492.66, 25715.63 , 19, 253, 118.65, 75, 149, 131.00, 90, 180, 129.23, 0.00%, 98.74%,0.00%, 1.26%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.42%,0.00%, 1.58%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 65.79%,0.00%, 21.05%, 13.16%, 0.00%, 0.00%, 0.00%, 0.00%, 0.78%, 47.66%,0.00%, 27.34%, 24.22%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 18.0, 0.0, 73.0, 0.0, 23.0, 5.478, 190
12, P-SLICE,   12, 33.19,       8320, 0,0.00,28.000,40.316, 48.559, 48.866, 42.415, 0.940890, 12.283,0, 11 10 9 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.11%, 0.92%,  4.37%,  4.94%,  3.56%,  6.55%,  0.00%,  1.72%,  0.57%,  1.03%, 37.01%, 31.95%,  3.91%,  3.33%, 24969.65, 1796.31, 6178.64, 25596.00 , 19, 253, 117.65, 75, 150, 130.98, 90, 180, 129.22, 0.00%, 89.44%,0.00%, 4.17%, 6.39%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 87.20%,0.00%, 7.44%, 5.36%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 55.71%,0.00%, 15.71%, 28.57%, 0.00%, 0.00%, 0.00%, 0.00%, 1.04%, 39.58%,0.00%, 30.21%, 29.17%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 6.0, 5.0, 16.0, 0.0, 72.0, 0.0, 27.0, 5.927, 103
13, P-SLICE,   13, 34.44,       5808, 0,0.00,28.000,40.302, 48.564, 48.864, 42.405, 0.940673, 12.267,0, 12 11 10 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.35%, 0.70%,  2.11%,  2.11%,  0.94%,  7.86%,  0.00%,  1.64%,  0.47%,  1.06%, 40.73%, 34.39%,  1.64%,  5.99%, 24851.53, 1791.77, 6267.79, 25231.52 , 18, 253, 117.66, 75, 149, 130.98, 90, 180, 129.22, 0.00%, 95.07%,0.00%, 2.74%, 2.19%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 94.46%,0.00%, 4.00%, 1.54%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 69.23%,0.00%, 15.38%, 15.38%, 0.00%, 0.00%, 0.00%, 0.00%, 2.31%, 46.15%,0.00%, 19.23%, 32.31%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 15.0, 0.0, 77.0, 0.0, 20.0, 5.887, 113
14, P-SLICE,   14, 34.32,       5664, 0,0.00,28.000,40.302, 48.563, 48.866, 42.405, 0.940649, 12.266,0, 13 12 11 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.48%, 1.21%,  1.09%,  1.45%,  2.42%,  8.00%,  0.00%,  0.36%,  0.12%,  0.36%, 44.48%, 31.88%,  2.18%,  5.94%, 24837.88, 1793.11, 6268.36, 25245.22 , 18, 253, 117.65, 75, 149, 130.98, 90, 180, 129.22, 0.00%, 97.61%,0.00%, 2.13%, 0.27%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 95.68%,0.00%, 3.60%, 0.72%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 48.72%,0.00%, 25.64%, 25.64%, 0.00%, 0.00%, 0.00%, 0.00%, 3.28%, 42.62%,0.00%, 29.51%, 24.59%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 16.0, 0.0, 76.0, 0.0, 21.0, 5.802, 43
15, P-SLICE,   15, 34.43,       5128, 0,0.00,28.000,40.298, 48.567, 48.858, 42.402, 0.940606, 12.263,0, 14 13 12 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.13%, 1.07%,  0.53%,  0.67%,  1.07%,  9.07%,  0.00%,  0.13%,  0.27%,  1.47%, 52.27%, 25.87%,  3.20%,  4.27%, 24844.28, 1793.27, 6275.39, 25319.40 , 18, 253, 117.65, 75, 149, 130.98, 90, 180, 129.22, 0.00%, 98.99%,0.00%, 0.76%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.50%,0.00%, 1.50%, 1.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 76.47%,0.00%, 11.76%, 11.76%, 0.00%, 0.00%, 0.00%, 0.00%, 0.89%, 38.39%,0.00%, 26.79%, 33.93%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 15.0, 0.0, 69.0, 0.0, 20.0, 5.502, 95
16, P-SLICE,   16, 36.00,        776, 0,0.00,28.000,40.293, 48.567, 48.859, 42.398, 0.940594, 12.262,0, 15 14 13 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.17%,  0.52%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 70.66%, 28.65%,  0.00%,  0.00%, 24859.75, 1792.02, 6284.39, 24859.75 , 18, 253, 117.65, 75, 149, 130.98, 90, 180, 129.22, 0.00%, 99.75%,0.00%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.21%,0.00%, 1.79%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 6.0, 0.0, 11.0, 0.0, 57.0, 0.0, 16.0, 7.513, 137
17, P-SLICE,   17, 34.43,       5552, 0,0.00,28.000,40.302, 48.565, 48.856, 42.404, 0.940604, 12.262,0, 16 15 14 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.40%, 2.13%,  0.40%,  0.00%,  1.20%,  8.40%,  0.00%,  0.00%,  0.00%,  0.00%, 52.67%, 25.87%,  1.73%,  7.20%, 24835.85, 1793.53, 6280.64, 25353.48 , 18, 253, 117.65, 75, 150, 130.98, 90, 180, 129.22, 0.00%, 99.25%,0.00%, 0.50%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 59.09%,0.00%, 31.82%, 9.09%, 0.00%, 0.00%, 0.00%, 0.00%, 2.50%, 45.00%,0.00%, 23.33%, 29.17%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 6.0, 0.0, 13.0, 0.0, 59.0, 0.0, 18.0, 5.813, 134
18, P-SLICE,   18, 34.43,       4984, 0,0.00,28.000,40.287, 48.559, 48.840, 42.390, 0.940508, 12.255,0, 17 16 15 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.67%, 1.21%,  0.54%,  0.40%,  0.81%,  9.18%,  0.00%,  0.00%,  0.13%,  2.43%, 53.71%, 23.48%,  2.56%,  4.86%, 24912.66, 1798.43, 6285.51, 25461.72 , 18, 253, 117.65, 75, 150, 130.98, 90, 180, 129.22, 0.00%, 99.00%,0.00%, 1.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.31%,0.00%, 1.69%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 76.92%,0.00%, 15.38%, 7.69%, 0.00%, 0.00%, 0.00%, 0.00%, 3.94%, 42.52%,0.00%, 29.13%, 24.41%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 5.0, 0.0, 15.0, 0.0, 65.0, 0.0, 20.0, 5.782, 114
19, P-SLICE,   19, 34.21,       5384, 0,0.00,28.000,40.288, 48.557, 48.850, 42.392, 0.940588, 12.261,0, 18 17 16 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.68%, 1.36%,  0.95%,  0.54%,  2.18%,  7.35%,  0.00%,  0.54%,  0.95%,  1.63%, 53.20%, 25.03%,  1.90%,  3.67%, 24921.99, 1796.12, 6272.32, 25397.39 , 18, 253, 117.64, 75, 150, 130.98, 90, 180, 129.22, 0.00%, 98.24%,0.00%, 1.01%, 0.75%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.92%,0.00%, 1.56%, 0.52%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 56.76%,0.00%, 27.03%, 16.22%, 0.00%, 0.00%, 0.00%, 0.00%, 5.10%, 39.80%,0.00%, 28.57%, 26.53%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 6.0, 0.0, 19.0, 0.0, 78.0, 0.0, 24.0, 5.789, 83
