Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, RateFactor, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 31.52,     193032, 0,0.00,25.087,25,  -, -, 0.00%,  0.00%,  0.00%, 4.86%,  3.03%, 15.94%, 5.60%,  1.06%, 16.14%, 5.95%,  1.75%, 22.56%,23.11%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 27636.86, 2008.08, 6247.13, 99563.03 , 17, 253, 117.78, 76, 150, 130.97, 90, 179, 129.23, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 187.0, 0.0, 141.0, 0.0, 703.0, 0.0, 315.0, 5.873, 241
1, P-SLICE,    5, 32.59,       4120, 0,-1612227.00,28.000,21, 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.18%,  0.06%,  0.29%, 0.00%,  0.24%,  0.29%,  0.18%,  1.35%,  0.00%,  0.12%,  0.24%,  0.24%, 18.32%, 23.32%, 23.38%, 31.80%, 27202.06, 1905.72, 6340.50, 27647.16 , 19, 253, 117.78, 76, 150, 130.96, 90, 179, 129.23, 0.00%, 98.73%,0.00%, 0.00%, 1.27%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.76%,0.00%, 0.00%, 1.24%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.26%,0.00%, 0.50%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 1.56%, 94.44%,0.00%, 2.95%, 1.04%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 200.0, 74.0, 57.0, 52.0, 19.0, 36.0, 288.0, 2.051, 21
2, B-SLICE,    3, 34.55,       2448, 0,-1611873.00,30.271,24, 0 ,5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.40%,  3.47%,  0.13%,  0.53%,  0.00%,  0.27%,  0.00%,  0.00%, 48.40%, 39.47%,  5.73%,  1.60%, 26889.04, 1887.04, 6388.39, 26950.45 , 19, 253, 117.77, 76, 150, 130.97, 90, 179, 129.23, 0.00%, 99.18%,0.00%, 0.00%, 0.82%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 91.98%,0.00%, 0.31%, 7.72%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.73%,0.00%, 2.27%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 75.00%,0.00%, 12.50%, 12.50%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 214.0, 103.0, 32.0, 13.0, 26.0, 5.0, 319.0, 2.638, 6
3, b-SLICE,    1, 35.00,       1008, 0,5.04,29.600,27, 0 ,3 5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.49%,  0.16%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 63.59%, 34.47%,  1.29%,  0.00%, 26750.20, 1900.72, 6399.81, 26760.87 , 19, 253, 117.77, 76, 150, 130.97, 90, 179, 129.23, 0.00%, 99.24%,0.00%, 0.51%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.53%,0.00%, 0.00%, 0.47%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 227.0, 101.0, 36.0, 9.0, 29.0, 0.0, 344.0, 2.580, 0
4, b-SLICE,    2, 35.00,       1112, 0,-1611161.00,29.600,27, 0 ,3 5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.49%,  0.33%,  0.16%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 63.90%, 34.63%,  0.49%,  0.00%, 26723.06, 1900.85, 6397.99, 26745.81 , 19, 253, 117.77, 76, 150, 130.97, 90, 179, 129.23, 0.00%, 99.49%,0.00%, 0.25%, 0.51%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.07%,0.00%, 0.47%, 0.47%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 75.00%,0.00%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2.0, 1.0, 44.0, 6.0, 30.0, 0.0, 348.0, 3.551, 3
5, b-SLICE,    4, 34.71,       1360, 0,-1611130.00,29.600,26, 3 0 ,5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.53%,  1.24%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 72.52%, 25.71%,  0.00%,  0.00%, 26858.33, 1886.38, 6404.54, 26889.91 , 19, 253, 117.78, 76, 150, 130.97, 90, 179, 129.23, 0.00%, 99.27%,0.00%, 0.24%, 0.49%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 95.39%,0.00%, 1.32%, 3.29%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 3.0, 0.0, 36.0, 0.0, 31.0, 0.0, 338.0, 7.009, 73
6, P-SLICE,   10, 32.84,       3920, 0,-1596063.00,28.000,21, 5 3 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.10%,  0.10%,  0.73%, 0.00%,  0.31%,  1.45%,  0.62%,  2.39%,  0.00%,  0.10%,  0.10%,  0.21%, 35.83%, 36.55%, 13.40%,  8.10%, 26501.27, 1874.37, 6230.80, 27082.41 , 19, 253, 117.81, 76, 149, 131.00, 90, 180, 129.25, 0.00%, 99.14%,0.00%, 0.29%, 0.58%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 96.19%,0.00%, 0.82%, 3.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 95.59%,0.00%, 2.21%, 2.21%, 0.00%, 0.00%, 0.00%, 0.00%, 8.04%, 71.43%,0.00%, 8.93%, 11.61%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2.0, 0.0, 27.0, 0.0, 27.0, 0.0, 308.0, 5.996, 64
7, B-SLICE,    8, 34.37,       2112, 0,-1610362.00,30.271,24, 5 3 ,10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.66%,  1.58%,  0.79%,  0.26%,  0.00%,  0.13%,  1.05%,  0.00%, 48.48%, 35.70%, 10.54%,  0.79%, 26978.70, 1841.80, 6437.47, 27036.44 , 19, 253, 117.77, 76, 150, 130.97, 90, 179, 129.23, 0.00%, 98.66%,0.00%, 0.80%, 0.54%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 95.77%,0.00%, 1.06%, 3.17%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 93.62%,0.00%, 4.26%, 2.13%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 75.00%,0.00%, 0.00%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1.0, 0.0, 25.0, 0.0, 24.0, 0.0, 331.0, 6.878, 108
8, b-SLICE,    6, 34.27,       1992, 0,5.23,29.600,27, 5 3 ,8 10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.14%,  0.97%,  0.14%,  0.14%,  0.00%,  0.00%,  0.00%,  0.00%, 52.97%, 32.50%, 11.62%,  1.52%, 26845.71, 1845.13, 6433.27, 26892.28 , 19, 253, 117.78, 76, 150, 130.96, 90, 179, 129.23, 0.00%, 99.48%,0.00%, 0.00%, 0.26%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.11%,0.00%, 0.83%, 2.07%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.82%,0.00%, 1.18%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 91.67%,0.00%, 8.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 25.0, 3.0, 29.0, 0.0, 352.0, 5.844, 103
9, b-SLICE,    7, 34.91,       1360, 0,-1610362.00,29.600,27, 5 3 ,8 10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.29%,  0.43%,  0.29%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 55.03%, 34.48%,  9.48%,  0.00%, 26942.44, 1842.75, 6444.41, 26984.53 , 19, 253, 117.77, 76, 150, 130.97, 90, 179, 129.23, 0.00%, 99.48%,0.00%, 0.52%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.77%,0.00%, 0.82%, 0.41%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.06%,0.00%, 1.47%, 1.47%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 31.0, 1.0, 36.0, 0.0, 359.0, 7.056, 90
