Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, RateFactor, Latency, List 0, List 1, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, 4x4, Inter 32x32, Inter 16x16, Skip 32x32, Skip 16x16, Merge 32x32, Merge 16x16, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 31.59,     649032, 0,0.00,25.087,14,  -, -, 9.67%,  8.15%, 16.60%,12.06%, 11.80%, 41.71%, 0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 11773.23, 694.39, 931.64, 174889.19 , 3, 248, 98.84, 97, 172, 138.66, 91, 206, 118.38, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.03%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 177.0, 0.0, 152.0, 0.0, 266.0, 0.0, 325.0, 12.358, 815
1, P-SLICE,    4, 30.57,     191032, 0,-4105770.00,28.000,11, 0 , -, 2.25%,  4.93%,  7.04%, 1.44%,  1.33%,  2.46%, 0.00%,  8.02%, 22.39%,  0.00%,  1.25%, 41.92%,  6.99%, 13765.15, 692.12, 948.10, 30263.22 , 8, 255, 98.74, 97, 171, 138.67, 92, 196, 118.46, 22.22%, 65.34%,0.00%, 4.53%, 8.00%, 0.00%, 0.00%, 0.00%, 0.00%, 14.60%, 23.00%,0.00%, 20.05%, 42.51%, 0.00%, 0.00%, 0.00%, 0.00%, 305.0, 0.0, 33.0, 0.0, 91.0, 0.0, 316.0, 9.167, 842
2, B-SLICE,    2, 31.22,      85208, 0,-4173029.00,30.271,14, 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 14.31%,  9.99%,  0.00%,  0.93%, 67.63%,  7.14%, 12537.17, 666.59, 968.63, 19090.37 , 8, 255, 98.75, 98, 171, 138.71, 92, 198, 118.49, 0.00%, 82.63%,0.00%, 9.69%, 7.84%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 44.68%,0.00%, 28.01%, 27.30%, 0.00%, 0.00%, 0.00%, 0.00%, 317.0, 1.0, 130.0, 0.0, 63.0, 0.0, 437.0, 7.778, 597
3, b-SLICE,    1, 32.89,      37504, 0,4.05,29.741,16, 0 ,2 4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  7.43%,  7.23%,  0.00%,  0.93%, 79.23%,  5.17%, 11515.95, 615.09, 942.83, 13867.90 , 0, 254, 98.88, 98, 172, 138.71, 92, 202, 118.43, 0.00%, 91.48%,0.00%, 3.59%, 5.01%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 45.75%,0.00%, 27.25%, 27.00%, 0.00%, 0.00%, 0.00%, 0.00%, 329.0, 0.0, 131.0, 0.0, 47.0, 0.0, 456.0, 7.851, 367
4, b-SLICE,    3, 32.11,      47360, 0,-4102016.00,29.741,15, 2 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  8.74%,  9.16%,  0.00%,  0.74%, 74.43%,  6.93%, 12045.37, 665.81, 917.23, 14891.58 , 1, 254, 98.76, 97, 171, 138.71, 92, 195, 118.50, 0.00%, 89.60%,0.00%, 4.26%, 6.29%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 45.58%,0.00%, 28.27%, 26.15%, 0.00%, 0.00%, 0.00%, 0.00%, 3.0, 0.0, 135.0, 0.0, 53.0, 0.0, 456.0, 8.377, 416
5, P-SLICE,    8, 31.35,     217464, 0,-4154692.00,28.000,11, 4 , -, 2.78%,  5.11%,  7.06%, 1.14%,  1.30%,  2.88%, 0.00%,  8.17%, 25.42%,  0.00%,  1.46%, 38.78%,  5.90%, 14321.02, 692.17, 967.21, 34611.64 , 8, 249, 98.60, 97, 171, 138.67, 92, 198, 118.46, 24.24%, 62.68%,0.00%, 5.88%, 7.38%, 0.00%, 0.00%, 0.00%, 0.00%, 13.98%, 19.33%,0.00%, 24.34%, 42.49%, 0.00%, 0.00%, 0.00%, 0.00%, 104.0, 0.0, 31.0, 0.0, 90.0, 0.0, 427.0, 9.092, 769
6, B-SLICE,    6, 31.82,      96496, 0,-4128423.00,30.271,14, 4 ,8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 14.33%, 12.94%,  0.00%,  1.67%, 65.44%,  5.62%, 12698.99, 662.14, 934.06, 20499.27 , 8, 254, 98.75, 96, 171, 138.69, 92, 186, 118.48, 0.00%, 82.03%,0.00%, 11.40%, 6.65%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 36.02%,0.00%, 36.18%, 27.80%, 0.00%, 0.00%, 0.00%, 0.00%, 4.0, 0.0, 140.0, 0.0, 79.0, 0.0, 568.0, 6.513, 187
7, b-SLICE,    5, 33.20,      42168, 0,3.97,29.741,16, 4 ,6 8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  8.21%,  8.44%,  0.00%,  0.73%, 77.15%,  5.47%, 11966.01, 665.72, 897.93, 14661.74 , 6, 253, 98.79, 98, 171, 138.70, 92, 188, 118.49, 0.00%, 90.42%,0.00%, 4.07%, 5.58%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 42.34%,0.00%, 30.86%, 26.80%, 0.00%, 0.00%, 0.00%, 0.00%, 2.0, 0.0, 132.0, 0.0, 63.0, 0.0, 580.0, 6.346, 114
8, b-SLICE,    7, 32.39,      65528, 0,-4106503.00,29.741,15, 6 ,8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 10.76%, 12.62%,  0.00%,  1.49%, 67.53%,  7.60%, 12416.66, 658.46, 890.35, 17026.62 , 6, 251, 98.71, 98, 171, 138.70, 92, 185, 118.50, 0.00%, 86.21%,0.00%, 7.15%, 6.63%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 41.86%,0.00%, 34.14%, 24.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 133.0, 0.0, 54.0, 0.0, 572.0, 7.051, 748
9, P-SLICE,   12, 31.10,     224920, 0,-4133373.00,28.000,11, 8 , -, 2.31%,  6.01%,  6.54%, 1.06%,  1.06%,  2.55%, 0.00%,  8.59%, 25.15%,  0.00%,  1.44%, 38.92%,  6.38%, 14544.87, 700.14, 939.49, 33813.43 , 4, 252, 98.29, 98, 171, 138.73, 92, 201, 118.52, 23.95%, 62.32%,0.00%, 6.09%, 7.77%, 0.00%, 0.00%, 0.00%, 0.00%, 12.43%, 20.76%,0.00%, 23.52%, 43.29%, 0.00%, 0.00%, 0.00%, 0.00%, 115.0, 0.0, 20.0, 0.0, 98.0, 0.0, 319.0, 8.387, 747
