Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, RateFactor, Latency, List 0, List 1, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, 4x4, Inter 32x32, Inter 16x16, Skip 32x32, Skip 16x16, Merge 32x32, Merge 16x16, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 33.31,     707256, 0,0.00,25.087,14,  -, -, 4.26%,  2.78%,  8.89%,13.88%,  9.72%, 60.48%, 0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 18828.08, 1279.80, 1593.12, 202025.06 , 0, 247, 98.47, 87, 168, 130.95, 78, 190, 127.97, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.02%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 212.0, 0.0, 169.0, 0.0, 306.0, 0.0, 369.0, 12.469, 382
1, P-SLICE,    4, 33.49,     155640, 0,-5841585.00,28.000,11, 0 , -, 1.27%,  2.20%,  2.77%, 1.57%,  1.99%,  6.05%, 0.00%,  9.09%, 25.06%,  0.00%,  4.36%, 27.47%, 18.17%, 22804.48, 1244.40, 1547.86, 40049.03 , 5, 248, 98.21, 88, 167, 130.93, 82, 190, 127.95, 14.60%, 64.28%,0.00%, 13.06%, 8.21%, 0.00%, 0.00%, 0.00%, 0.00%, 16.80%, 39.45%,0.00%, 25.70%, 18.21%, 0.00%, 0.00%, 0.00%, 0.00%, 357.0, 1.0, 33.0, 0.0, 104.0, 0.0, 352.0, 10.353, 897
2, B-SLICE,    2, 33.58,      94192, 0,-6011700.00,30.271,14, 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 14.47%, 20.02%,  0.00%,  2.74%, 46.91%, 15.86%, 22781.34, 1295.27, 1788.77, 32044.58 , 1, 243, 98.14, 86, 167, 130.85, 75, 191, 127.90, 0.00%, 76.35%,0.00%, 14.19%, 9.46%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 48.16%,0.00%, 33.72%, 18.12%, 0.00%, 0.00%, 0.00%, 0.00%, 371.0, 0.0, 153.0, 2.0, 84.0, 0.0, 495.0, 7.725, 311
3, b-SLICE,    1, 34.52,      48120, 0,3.65,29.741,16, 0 ,2 4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  7.96%, 14.88%,  0.00%,  1.81%, 65.66%,  9.69%, 20226.99, 1160.20, 1711.89, 24417.94 , 2, 246, 98.51, 89, 167, 130.95, 80, 191, 128.01, 0.00%, 89.17%,0.00%, 8.12%, 2.71%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 43.58%,0.00%, 37.27%, 19.14%, 0.00%, 0.00%, 0.00%, 0.00%, 381.0, 0.0, 154.0, 3.0, 62.0, 0.0, 515.0, 7.540, 349
4, b-SLICE,    3, 34.53,      48336, 0,-5859912.00,29.741,15, 2 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 10.16%, 14.08%,  0.00%,  2.25%, 61.87%, 11.65%, 20910.36, 1233.39, 1631.82, 24646.64 , 5, 246, 98.23, 88, 167, 130.96, 81, 190, 127.95, 0.00%, 85.89%,0.00%, 8.97%, 5.18%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 49.69%,0.00%, 32.11%, 18.20%, 0.00%, 0.00%, 0.00%, 0.00%, 2.0, 0.0, 153.0, 0.0, 61.0, 0.0, 508.0, 7.850, 284
5, P-SLICE,    8, 33.68,     201216, 0,-5872067.00,28.000,11, 4 , -, 1.83%,  2.73%,  4.43%, 1.53%,  2.01%,  8.06%, 0.00%,  9.05%, 30.11%,  0.00%,  6.06%, 17.38%, 16.81%, 23985.89, 1299.53, 1578.99, 45815.32 , 3, 246, 98.07, 91, 167, 130.81, 80, 190, 127.94, 25.42%, 49.11%,0.00%, 16.46%, 9.12%, 0.00%, 0.00%, 0.00%, 0.00%, 18.00%, 35.44%,0.00%, 28.62%, 18.09%, 0.00%, 0.00%, 0.00%, 0.00%, 125.0, 0.0, 26.0, 0.0, 120.0, 0.0, 483.0, 10.971, 661
6, B-SLICE,    6, 34.02,      97928, 0,-5945528.00,30.271,14, 4 ,8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 14.47%, 22.91%,  0.00%,  4.50%, 42.63%, 15.50%, 23770.63, 1298.58, 1714.11, 33885.67 , 1, 245, 98.13, 88, 167, 130.76, 78, 192, 127.94, 0.00%, 74.67%,0.00%, 17.21%, 8.21%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 46.63%,0.00%, 35.44%, 17.98%, 0.00%, 0.00%, 0.00%, 0.00%, 4.0, 0.0, 535.0, 1.0, 83.0, 0.0, 1019.0, 9.691, 564
7, b-SLICE,    5, 34.56,      45832, 0,3.52,29.741,16, 4 ,6 8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  9.18%, 14.68%,  0.00%,  2.49%, 61.74%, 11.90%, 21173.79, 1236.35, 1615.65, 24458.15 , 4, 246, 98.27, 89, 167, 130.88, 82, 189, 128.00, 0.00%, 87.02%,0.00%, 8.80%, 4.18%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 49.50%,0.00%, 30.98%, 19.52%, 0.00%, 0.00%, 0.00%, 0.00%, 2.0, 0.0, 532.0, 0.0, 71.0, 0.0, 1031.0, 9.490, 375
8, b-SLICE,    7, 34.35,      62912, 0,-5851957.00,29.741,15, 6 ,8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 12.80%, 17.29%,  0.00%,  3.25%, 52.96%, 13.71%, 22141.64, 1257.52, 1577.68, 27480.91 , 4, 247, 98.23, 88, 167, 130.83, 83, 191, 128.01, 0.00%, 80.57%,0.00%, 14.17%, 5.38%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 49.56%,0.00%, 34.43%, 16.09%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 532.0, 0.0, 67.0, 0.0, 1021.0, 7.691, 396
9, P-SLICE,   12, 33.67,     181800, 0,-5827264.00,28.000,11, 8 , -, 1.87%,  2.81%,  3.78%, 1.59%,  1.49%,  6.47%, 0.00%,  8.93%, 30.17%,  0.00%,  5.47%, 20.08%, 17.35%, 24191.99, 1276.52, 1503.86, 43584.99 , 5, 247, 97.91, 92, 167, 130.90, 82, 191, 127.92, 22.58%, 53.62%,0.00%, 14.86%, 8.98%, 0.00%, 0.00%, 0.00%, 0.00%, 15.30%, 36.52%,0.00%, 28.78%, 19.49%, 0.00%, 0.00%, 0.00%, 0.00%, 515.0, 0.0, 18.0, 0.0, 120.0, 0.0, 735.0, 9.931, 777
