Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, RateFactor, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 31.25,     203008, 0,0.00,25.087,25,  -, -, 0.00%,  0.00%,  0.00%, 4.87%,  2.74%, 15.84%, 5.32%,  1.55%, 15.71%, 6.06%,  1.91%, 23.65%,22.35%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 26501.87, 1927.75, 6038.54, 97855.76 , 19, 253, 117.81, 76, 150, 130.96, 90, 179, 129.24, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 187.0, 0.0, 138.0, 0.0, 743.0, 0.0, 313.0, 6.322, 241
1, P-SLICE,    5, 32.29,       4504, 0,-1606898.00,28.000,21, 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.06%,  0.00%,  0.00%, 0.00%,  0.35%,  0.71%,  0.76%,  0.94%,  0.00%,  0.00%,  0.00%,  0.00%, 18.40%, 22.05%, 22.69%, 34.04%, 25946.83, 1845.79, 6140.87, 26557.99 , 19, 253, 117.81, 76, 150, 130.96, 90, 179, 129.23, 0.00%, 98.12%,0.00%, 0.63%, 1.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 96.90%,0.00%, 0.00%, 3.10%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 96.74%,0.00%, 1.25%, 2.01%, 0.00%, 0.00%, 0.00%, 0.00%, 0.17%, 97.15%,0.00%, 1.34%, 1.34%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 201.0, 78.0, 48.0, 42.0, 20.0, 28.0, 288.0, 2.127, 5
2, B-SLICE,    3, 34.26,       2728, 0,-1607978.00,30.271,24, 0 ,5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.22%,  0.97%,  0.65%,  0.32%,  0.00%,  0.32%,  0.00%,  0.00%, 38.92%, 32.90%,  5.38%, 20.32%, 25715.95, 1831.50, 6205.11, 25771.30 , 19, 253, 117.81, 76, 150, 130.96, 90, 179, 129.24, 0.00%, 99.45%,0.00%, 0.00%, 0.55%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.17%,0.00%, 0.63%, 2.20%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 89.29%,0.00%, 3.57%, 7.14%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.44%,0.00%, 1.04%, 0.52%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 214.0, 93.0, 40.0, 17.0, 21.0, 10.0, 316.0, 2.893, 42
3, b-SLICE,    1, 34.91,       1032, 0,39.15,29.600,27, 0 ,3 5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.15%,  0.61%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 59.63%, 34.25%,  4.74%,  0.61%, 25459.87, 1815.25, 6189.75, 25461.19 , 19, 253, 117.81, 76, 150, 130.96, 90, 179, 129.24, 0.00%, 99.74%,0.00%, 0.00%, 0.26%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.25%,0.00%, 0.88%, 0.88%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 226.0, 97.0, 38.0, 6.0, 25.0, 0.0, 343.0, 3.293, 15
4, b-SLICE,    2, 34.91,        984, 0,-1607547.00,29.600,27, 0 ,3 5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.15%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 59.79%, 34.71%,  4.74%,  0.61%, 25633.72, 1817.96, 6218.02, 25633.84 , 19, 253, 117.81, 76, 150, 130.96, 89, 179, 129.24, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.56%,0.00%, 0.00%, 0.44%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1.0, 0.0, 47.0, 2.0, 30.0, 0.0, 348.0, 5.936, 32
5, b-SLICE,    4, 35.00,        968, 0,-1608242.00,29.600,26, 3 0 ,5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.17%,  0.00%,  0.17%,  0.00%,  0.00%,  0.00%,  0.00%, 71.11%, 21.54%,  5.81%,  1.20%, 25681.15, 1817.52, 6218.68, 25720.32 , 19, 253, 117.81, 76, 150, 130.96, 90, 179, 129.23, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.21%,0.00%, 0.00%, 0.79%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 87.50%,0.00%, 12.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2.0, 0.0, 38.0, 1.0, 29.0, 0.0, 343.0, 6.498, 82
6, P-SLICE,   10, 32.83,       3880, 0,-1606650.00,28.000,21, 5 3 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.23%, 0.00%,  0.34%,  0.11%,  0.79%,  2.60%,  0.00%,  0.00%,  0.00%,  0.00%, 39.89%, 39.44%,  8.14%,  8.47%, 25872.66, 1834.04, 6222.86, 26940.39 , 19, 253, 117.81, 76, 149, 130.96, 90, 179, 129.23, 0.00%, 99.16%,0.00%, 0.28%, 0.56%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.71%,0.00%, 0.29%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 91.14%,0.00%, 7.59%, 1.27%, 0.00%, 0.00%, 0.00%, 0.00%, 2.00%, 75.00%,0.00%, 17.00%, 6.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2.0, 0.0, 31.0, 0.0, 29.0, 0.0, 308.0, 5.022, 77
7, B-SLICE,    8, 33.98,       2952, 0,-1608581.00,30.271,24, 5 3 ,10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.35%,  1.20%,  0.45%,  1.05%,  0.00%,  0.00%,  0.00%,  0.00%, 57.66%, 31.53%,  4.80%,  1.95%, 25774.77, 1820.55, 6288.32, 25987.60 , 19, 253, 117.81, 76, 150, 130.96, 90, 179, 129.24, 0.00%, 97.69%,0.00%, 0.26%, 2.05%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 96.33%,0.00%, 0.46%, 3.21%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 91.43%,0.00%, 0.00%, 8.57%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 65.00%,0.00%, 5.00%, 30.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1.0, 0.0, 25.0, 0.0, 32.0, 0.0, 334.0, 6.440, 138
8, b-SLICE,    6, 34.37,       2064, 0,5.30,29.600,27, 5 3 ,8 10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.61%,  0.30%,  0.15%,  0.00%,  0.00%,  0.00%,  0.00%, 60.12%, 31.20%,  5.94%,  1.67%, 25726.60, 1802.55, 6272.50, 25738.05 , 19, 253, 117.81, 76, 149, 130.96, 90, 179, 129.24, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.09%,0.00%, 0.00%, 1.91%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 95.12%,0.00%, 2.44%, 2.44%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 91.67%,0.00%, 8.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 26.0, 1.0, 33.0, 0.0, 357.0, 7.167, 111
9, b-SLICE,    7, 34.57,       1768, 0,-1607938.00,29.600,27, 5 3 ,8 10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.61%,  0.46%,  0.15%,  0.00%,  0.00%,  0.00%,  0.00%, 60.12%, 31.20%,  5.78%,  1.67%, 25721.26, 1802.88, 6284.97, 25734.56 , 19, 253, 117.81, 76, 149, 130.96, 90, 179, 129.24, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.09%,0.00%, 0.00%, 1.91%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 92.68%,0.00%, 4.88%, 2.44%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 91.67%,0.00%, 0.00%, 8.33%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 30.0, 0.0, 35.0, 0.0, 364.0, 6.691, 83
