Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, RateFactor, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 25.29,     471168, 0,0.00,25.087,25,  -, -, 0.00%,  0.00%,  0.00%, 2.41%,  3.39%, 10.38%, 5.53%,  3.51%, 15.28%, 5.11%,  1.93%, 22.41%,30.06%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 12146.71, 1057.98, 3082.88, 83076.60 , 19, 253, 117.81, 76, 150, 130.96, 90, 179, 129.24, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 178.0, 0.0, 144.0, 0.0, 835.0, 0.0, 312.0, 6.611, 151
1, P-SLICE,    5, 31.62,       5224, 0,-1606898.00,28.000,21, 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.15%,  0.00%,  0.38%, 0.00%,  0.23%,  0.84%,  0.61%,  2.30%,  0.00%,  0.23%,  0.15%,  0.31%, 21.07%, 44.14%, 28.12%,  1.46%, 12209.21, 1019.38, 3467.76, 12880.06 , 19, 253, 117.81, 76, 150, 130.96, 90, 179, 129.23, 0.00%, 98.92%,0.00%, 0.00%, 1.08%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.14%,0.00%, 0.34%, 1.53%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.88%,0.00%, 1.59%, 0.53%, 0.00%, 0.00%, 0.00%, 0.00%, 11.67%, 38.33%,0.00%, 31.67%, 18.33%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 191.0, 79.0, 53.0, 45.0, 21.0, 32.0, 292.0, 2.247, 2
2, B-SLICE,    3, 34.85,        992, 0,-1607978.00,30.271,24, 0 ,5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%,  0.14%,  0.55%,  0.00%,  0.41%,  0.41%,  0.00%, 50.14%, 46.56%,  0.69%,  1.10%, 12262.96, 1018.17, 3500.33, 12296.41 , 19, 253, 117.81, 76, 150, 130.96, 90, 179, 129.24, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 88.89%,0.00%, 11.11%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 66.67%,0.00%, 8.33%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 203.0, 94.0, 40.0, 22.0, 18.0, 13.0, 319.0, 2.471, 27
3, b-SLICE,    1, 36.00,        768, 0,39.15,30.271,27, 0 ,3 5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.14%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 53.39%, 45.89%,  0.58%,  0.00%, 11803.80, 1009.48, 3481.58, 11803.80 , 19, 253, 117.81, 76, 150, 130.96, 90, 179, 129.24, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.69%,0.00%, 0.31%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 216.0, 101.0, 33.0, 6.0, 24.0, 0.0, 345.0, 3.231, 27
4, b-SLICE,    2, 36.00,        896, 0,-1607547.00,30.271,27, 0 ,3 5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.14%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 53.39%, 45.89%,  0.58%,  0.00%, 12128.96, 1015.33, 3507.78, 12138.54 , 19, 253, 117.81, 76, 150, 130.96, 89, 179, 129.24, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.69%,0.00%, 0.31%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1.0, 0.0, 41.0, 0.0, 34.0, 0.0, 348.0, 7.107, 79
5, b-SLICE,    4, 36.00,        864, 0,-1608242.00,30.271,26, 3 0 ,5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 59.84%, 39.53%,  0.62%,  0.00%, 12262.21, 1019.98, 3538.99, 12262.21 , 19, 253, 117.81, 76, 150, 130.96, 90, 179, 129.23, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 3.0, 0.0, 34.0, 0.0, 27.0, 0.0, 342.0, 4.967, 21
6, P-SLICE,   10, 31.69,       5616, 0,-1606650.00,28.000,21, 5 3 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.49%, 0.00%,  0.39%,  0.49%,  0.69%,  3.83%,  0.00%,  0.49%,  0.20%,  0.39%, 29.40%, 54.57%,  6.29%,  2.75%, 12278.39, 1024.86, 3519.59, 13599.13 , 19, 253, 117.81, 76, 149, 130.96, 90, 179, 129.23, 0.00%, 98.68%,0.00%, 0.33%, 0.99%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.12%,0.00%, 0.35%, 0.53%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 90.41%,0.00%, 6.85%, 2.74%, 0.00%, 0.00%, 0.00%, 0.00%, 6.58%, 42.11%,0.00%, 38.16%, 13.16%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1.0, 0.0, 29.0, 0.0, 30.0, 0.0, 308.0, 6.200, 68
7, B-SLICE,    8, 35.00,       1352, 0,-1608581.00,30.271,24, 5 3 ,10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%,  0.38%,  0.25%,  0.00%,  0.00%,  0.00%,  0.00%, 43.35%, 54.25%,  1.52%,  0.25%, 12441.26, 1021.50, 3538.59, 12590.63 , 19, 253, 117.81, 76, 150, 130.96, 90, 179, 129.24, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 80.00%,0.00%, 13.33%, 6.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 50.00%,0.00%, 0.00%, 50.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2.0, 0.0, 23.0, 0.0, 32.0, 0.0, 335.0, 7.424, 81
8, b-SLICE,    6, 36.00,        816, 0,5.30,30.271,27, 5 3 ,8 10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.19%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 83.33%, 14.92%,  1.55%,  0.00%, 12338.57, 1016.67, 3535.78, 12350.09 , 19, 253, 117.81, 76, 149, 130.96, 90, 179, 129.24, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.72%,0.00%, 1.28%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 27.0, 4.0, 27.0, 0.0, 361.0, 4.651, 61
9, b-SLICE,    7, 36.00,        816, 0,-1607938.00,30.271,27, 5 3 ,8 10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.19%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 83.33%, 14.92%,  1.55%,  0.00%, 12338.57, 1016.67, 3535.78, 12350.09 , 19, 253, 117.81, 76, 149, 130.96, 90, 179, 129.24, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.72%,0.00%, 1.28%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 1.0, 33.0, 0.0, 30.0, 0.0, 364.0, 6.918, 20
