Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, RateFactor, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 26.07,     435720, 0,0.00,25.087,25,  -, -, 0.00%,  0.00%,  0.00%, 2.75%,  3.37%, 11.13%, 5.88%,  2.81%, 14.37%, 4.70%,  1.72%, 22.62%,30.64%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 12772.92, 1116.82, 3261.86, 83582.39 , 19, 253, 117.68, 76, 149, 131.02, 90, 179, 129.25, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 187.0, 0.0, 156.0, 0.0, 853.0, 0.0, 333.0, 6.600, 202
1, P-SLICE,    5, 31.53,       7248, 0,-1615887.00,28.000,21, 0 , -, 0.00%,  0.00%,  0.00%, 0.07%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.66%,  0.15%,  1.33%, 0.00%,  0.00%,  0.52%,  0.66%,  4.42%,  0.00%,  0.00%,  0.07%,  2.21%, 21.46%, 38.57%, 27.43%,  2.43%, 13149.99, 1091.44, 3748.29, 13972.26 , 19, 253, 117.67, 76, 149, 130.98, 90, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.19%, 98.49%,0.00%, 0.00%, 1.32%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.64%,0.00%, 1.05%, 1.31%, 0.00%, 0.00%, 0.00%, 0.00%, 19.08%, 41.45%,0.00%, 25.66%, 13.82%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 201.0, 82.0, 62.0, 52.0, 26.0, 37.0, 313.0, 2.247, 0
2, B-SLICE,    3, 34.74,       1464, 0,-1615782.00,30.271,24, 0 ,5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.27%,  0.41%,  1.23%,  0.00%,  0.27%,  0.69%,  0.14%, 50.34%, 44.31%,  0.96%,  1.37%, 13481.34, 1087.61, 3778.37, 13579.58 , 19, 253, 117.68, 76, 149, 130.99, 90, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.38%,0.00%, 0.31%, 0.31%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 80.00%,0.00%, 20.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 55.00%,0.00%, 40.00%, 5.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 213.0, 108.0, 40.0, 20.0, 23.0, 12.0, 339.0, 3.031, 12
3, b-SLICE,    1, 35.74,       1296, 0,4.99,30.271,27, 0 ,3 5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.28%,  0.14%,  0.85%,  0.00%,  0.00%,  0.00%,  0.00%, 53.28%, 42.45%,  1.57%,  1.42%, 13167.83, 1084.62, 3721.53, 13294.53 , 19, 253, 117.69, 76, 149, 130.99, 90, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.33%,0.00%, 0.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 91.67%,0.00%, 8.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 62.50%,0.00%, 18.75%, 18.75%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 226.0, 113.0, 47.0, 8.0, 28.0, 0.0, 369.0, 2.782, 4
4, b-SLICE,    2, 35.67,       1504, 0,-1613201.00,30.271,27, 0 ,3 5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.42%,  0.28%,  1.12%,  0.00%,  0.14%,  0.14%,  0.56%, 52.38%, 41.18%,  2.10%,  1.68%, 13442.40, 1085.07, 3754.21, 13600.92 , 19, 253, 117.68, 76, 149, 130.99, 90, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.99%,0.00%, 0.67%, 0.34%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 88.89%,0.00%, 11.11%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 66.67%,0.00%, 20.83%, 12.50%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2.0, 0.0, 43.0, 2.0, 35.0, 0.0, 370.0, 5.833, 9
5, b-SLICE,    4, 36.00,        808, 0,-1615782.00,30.271,26, 3 0 ,5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.17%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 66.50%, 33.33%,  0.00%,  0.00%, 13364.90, 1087.40, 3788.47, 13364.90 , 19, 253, 117.68, 76, 149, 130.99, 90, 179, 129.22, 0.00%, 99.75%,0.00%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2.0, 0.0, 35.0, 1.0, 33.0, 0.0, 364.0, 4.407, 64
6, P-SLICE,   10, 27.79,      16840, 0,-1631333.00,28.000,21, 5 3 , -, 0.00%,  0.00%,  0.00%, 0.07%,  0.29%,  0.29%, 0.00%,  0.15%,  0.29%, 0.44%,  0.15%,  1.17%, 0.00%,  7.46%,  8.33%,  2.27%,  5.34%,  0.00%,  1.68%,  0.95%,  0.51%, 11.84%, 38.16%, 15.35%,  5.26%, 14068.16, 1112.23, 3905.68, 15433.07 , 19, 253, 118.65, 75, 149, 131.00, 90, 180, 129.23, 0.00%, 61.36%,0.00%, 11.36%, 27.27%, 0.00%, 0.00%, 0.00%, 0.00%, 1.35%, 81.59%,0.00%, 3.59%, 13.47%, 0.00%, 0.00%, 0.00%, 0.00%, 2.31%, 85.77%,0.00%, 4.62%, 7.31%, 0.00%, 0.00%, 0.00%, 0.00%, 13.64%, 44.89%,0.00%, 24.43%, 17.05%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2.0, 12.0, 21.0, 0.0, 60.0, 0.0, 334.0, 6.567, 142
7, B-SLICE,    8, 34.68,       2072, 0,-1632835.00,30.271,24, 5 3 ,10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.96%,  0.41%,  0.27%,  1.37%,  0.00%,  0.00%,  0.00%,  0.00%, 49.79%, 42.66%,  2.06%,  2.47%, 14117.37, 1117.21, 4121.44, 14194.16 , 19, 253, 118.65, 75, 149, 131.00, 90, 180, 129.23, 0.00%, 98.11%,0.00%, 1.89%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.04%,0.00%, 0.32%, 0.64%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 88.24%,0.00%, 5.88%, 5.88%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 64.29%,0.00%, 25.00%, 10.71%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2.0, 6.0, 38.0, 11.0, 57.0, 0.0, 364.0, 2.762, 10
8, b-SLICE,    6, 35.67,       1600, 0,3.48,30.271,27, 5 3 ,8 10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.58%,  0.39%,  0.79%,  0.99%,  0.00%,  0.00%,  0.00%,  0.00%, 84.62%,  9.07%,  1.97%,  0.59%, 14482.38, 1120.25, 4151.13, 14672.06 , 19, 253, 118.66, 76, 149, 131.00, 90, 179, 129.23, 0.00%, 98.17%,0.00%, 1.60%, 0.23%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 95.83%,0.00%, 4.17%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 71.43%,0.00%, 21.43%, 7.14%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 37.50%,0.00%, 50.00%, 12.50%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 8.0, 40.0, 29.0, 33.0, 9.0, 391.0, 2.036, 2
9, b-SLICE,    7, 35.56,       1576, 0,-1628944.00,30.271,27, 5 3 ,8 10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.96%,  0.77%,  0.77%,  0.77%,  0.00%,  0.00%,  0.00%,  0.00%, 82.85%, 10.02%,  1.54%,  2.31%, 14357.35, 1113.10, 4155.70, 14504.83 , 19, 253, 118.65, 75, 150, 131.00, 90, 180, 129.23, 0.00%, 98.85%,0.00%, 0.69%, 0.46%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 92.86%,0.00%, 7.14%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 66.67%,0.00%, 33.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 75.00%,0.00%, 18.75%, 6.25%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 53.0, 29.0, 66.0, 1.0, 394.0, 2.358, 1
