Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, RateFactor, Latency, List 0, List 1, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, 4x4, Inter 32x32, Inter 16x16, Skip 32x32, Skip 16x16, Merge 32x32, Merge 16x16, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
10, B-SLICE,   10, 33.18,      50656, 0,-3731639.00,30.271,14, 8 ,12 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 11.59%, 10.40%,  0.00%,  1.25%, 67.86%,  8.90%, 12308.39, 719.20, 940.68, 16583.07 , 0, 239, 83.62, 100, 163, 136.83, 97, 190, 120.46, 0.00%, 85.44%,0.00%, 7.59%, 7.04%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 49.39%,0.00%, 26.98%, 23.63%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 461.0, 8.0, 52.0, 0.0, 1643.0, 6.075, 234
11, b-SLICE,    9, 33.42,      29216, 0,3.31,29.741,16, 8 ,10 12 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  7.64%,  5.73%,  0.00%,  1.04%, 79.63%,  5.96%, 11749.55, 689.10, 954.29, 13644.49 , 0, 239, 82.89, 101, 162, 136.58, 98, 189, 120.53, 0.00%, 91.25%,0.00%, 4.78%, 4.01%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 55.15%,0.00%, 24.27%, 20.84%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 461.0, 6.0, 53.0, 0.0, 1654.0, 4.994, 149
12, b-SLICE,   11, 34.15,      28432, 0,-3715650.00,29.741,15, 10 ,12 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  6.42%,  6.18%,  0.00%,  1.29%, 79.30%,  6.81%, 12178.74, 726.38, 951.68, 14144.98 , 2, 239, 84.07, 101, 163, 136.96, 97, 191, 120.45, 0.00%, 92.49%,0.00%, 2.94%, 4.57%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 56.71%,0.00%, 18.06%, 25.23%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 461.0, 0.0, 41.0, 0.0, 1539.0, 7.126, 182
13, P-SLICE,   16, 32.88,     174432, 0,-3843741.00,28.000,11, 12 , -, 6.81%, 11.91%, 11.86%, 1.33%,  1.56%,  3.09%, 0.00%, 11.54%, 29.15%,  0.00%,  1.22%, 18.15%,  3.38%, 14044.44, 803.48, 1025.44, 30843.94 , 0, 241, 86.15, 99, 163, 137.04, 97, 194, 120.10, 50.80%, 30.15%,0.00%, 5.18%, 13.95%, 0.00%, 0.00%, 0.00%, 0.00%, 15.07%, 11.60%,0.00%, 22.08%, 51.38%, 0.00%, 0.00%, 0.00%, 0.00%, 443.0, 0.0, 18.0, 0.0, 98.0, 0.0, 955.0, 10.240, 521
14, B-SLICE,   14, 33.12,      50464, 0,-3802182.00,30.271,14, 12 ,16 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 11.93%,  9.81%,  0.00%,  1.77%, 68.69%,  7.79%, 13128.84, 800.99, 980.26, 17927.16 , 0, 241, 85.73, 99, 163, 137.10, 97, 190, 120.15, 0.00%, 85.28%,0.00%, 7.95%, 6.89%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 49.35%,0.00%, 30.07%, 20.59%, 0.00%, 0.00%, 0.00%, 0.00%, 1.0, 0.0, 465.0, 6.0, 65.0, 0.0, 1848.0, 5.971, 296
15, b-SLICE,   13, 33.66,      29080, 0,3.45,29.741,16, 12 ,14 16 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  7.23%,  6.33%,  0.00%,  1.53%, 79.43%,  5.47%, 12338.23, 769.28, 973.96, 14455.63 , 3, 239, 85.03, 99, 163, 136.99, 98, 191, 120.26, 0.00%, 91.73%,0.00%, 3.67%, 4.71%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 52.50%,0.00%, 23.50%, 24.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 1.0, 464.0, 6.0, 53.0, 0.0, 1862.0, 5.889, 281
16, b-SLICE,   15, 34.03,      29048, 0,-3794500.00,29.741,15, 14 ,16 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  5.56%,  7.09%,  0.00%,  0.83%, 80.87%,  5.66%, 12843.95, 792.60, 976.76, 15146.69 , 3, 240, 86.09, 99, 163, 137.10, 97, 191, 120.15, 0.00%, 93.66%,0.00%, 3.06%, 3.40%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 47.79%,0.00%, 29.17%, 23.04%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 464.0, 0.0, 45.0, 0.0, 1849.0, 7.308, 342
17, P-SLICE,   20, 33.00,     183992, 0,-3877964.00,28.000,11, 16 , -, 7.84%, 10.80%, 12.18%, 1.10%,  0.97%,  2.85%, 0.00%, 12.60%, 30.20%,  0.00%,  0.58%, 17.36%,  3.53%, 14322.49, 801.88, 1030.89, 32222.59 , 0, 240, 87.93, 97, 165, 137.17, 96, 192, 119.91, 50.80%, 28.61%,0.00%, 5.99%, 14.78%, 0.00%, 0.00%, 0.00%, 0.00%, 12.53%, 10.47%,0.00%, 21.53%, 55.47%, 0.00%, 0.00%, 0.00%, 0.00%, 447.0, 0.0, 24.0, 0.0, 136.0, 0.0, 960.0, 8.904, 546
18, B-SLICE,   18, 32.85,      53024, 0,-3844581.00,30.271,14, 16 ,20 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 11.25%, 10.74%,  0.00%,  1.79%, 68.52%,  7.70%, 13209.40, 788.00, 985.58, 18460.10 , 0, 239, 87.58, 95, 163, 137.20, 96, 191, 119.96, 0.00%, 85.91%,0.00%, 7.50%, 6.63%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 46.89%,0.00%, 32.30%, 20.81%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 239.0, 19.0, 58.0, 3.0, 1631.0, 4.198, 148
19, b-SLICE,   17, 33.38,      29384, 0,3.69,29.741,16, 16 ,18 20 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  7.82%,  5.85%,  0.00%,  1.18%, 80.68%,  4.47%, 12550.35, 777.72, 989.57, 14900.71 , 0, 239, 86.82, 99, 163, 137.09, 97, 193, 120.01, 0.00%, 91.15%,0.00%, 3.75%, 5.10%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 49.12%,0.00%, 26.18%, 24.71%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 1.0, 237.0, 15.0, 50.0, 2.0, 1647.0, 4.506, 282
