Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, RateFactor, Latency, List 0, List 1, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, 4x4, Inter 32x32, Inter 16x16, Skip 32x32, Skip 16x16, Merge 32x32, Merge 16x16, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 32.14,     611736, 0,0.00,25.087,14,  -, -,11.06%,  7.14%, 18.32%,14.36%, 10.24%, 38.88%, 0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 11984.87, 712.23, 959.67, 184833.76 , 2, 247, 95.34, 86, 170, 138.80, 93, 198, 118.60, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 190.0, 0.0, 153.0, 0.0, 270.0, 0.0, 333.0, 12.527, 993
1, P-SLICE,    4, 31.69,     165336, 0,-4308444.00,28.000,11, 0 , -, 2.06%,  3.94%,  4.80%, 1.17%,  1.19%,  2.44%, 0.00%,  9.09%, 22.69%,  0.00%,  1.11%, 44.49%,  7.00%, 15118.33, 729.43, 995.15, 33543.97 , 5, 251, 95.36, 86, 170, 138.74, 93, 197, 118.59, 16.82%, 69.10%,0.00%, 6.04%, 8.11%, 0.00%, 0.00%, 0.00%, 0.00%, 13.50%, 22.81%,0.00%, 18.76%, 45.00%, 0.00%, 0.00%, 0.00%, 0.00%, 320.0, 0.0, 33.0, 0.0, 83.0, 0.0, 314.0, 9.292, 937
2, B-SLICE,    2, 32.51,      69384, 0,-4376268.00,30.271,14, 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 12.44%,  9.72%,  0.00%,  1.66%, 69.39%,  6.78%, 13505.99, 688.91, 1018.18, 21322.58 , 4, 250, 95.35, 87, 170, 138.77, 93, 194, 118.61, 0.00%, 84.78%,0.00%, 7.02%, 8.20%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 46.64%,0.00%, 31.27%, 22.26%, 0.00%, 0.00%, 0.00%, 0.00%, 332.0, 0.0, 131.0, 0.0, 71.0, 0.0, 436.0, 8.080, 588
3, b-SLICE,    1, 33.82,      30088, 0,4.10,29.741,16, 0 ,2 4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  5.53%,  5.76%,  0.00%,  0.81%, 83.21%,  4.68%, 12169.34, 630.74, 983.24, 15552.48 , 5, 252, 95.39, 87, 170, 138.84, 93, 197, 118.65, 0.00%, 93.75%,0.00%, 2.42%, 3.84%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 48.80%,0.00%, 26.51%, 24.70%, 0.00%, 0.00%, 0.00%, 0.00%, 343.0, 0.0, 132.0, 0.0, 46.0, 0.0, 458.0, 8.390, 432
4, b-SLICE,    3, 33.99,      34464, 0,-4321175.00,29.741,15, 2 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  8.18%,  6.80%,  0.00%,  1.28%, 76.72%,  7.03%, 13321.32, 696.30, 971.78, 16630.27 , 3, 255, 95.42, 87, 170, 138.78, 93, 193, 118.62, 0.00%, 90.42%,0.00%, 3.84%, 5.82%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 55.00%,0.00%, 21.96%, 23.04%, 0.00%, 0.00%, 0.00%, 0.00%, 2.0, 0.0, 133.0, 0.0, 50.0, 0.0, 451.0, 8.596, 508
5, P-SLICE,    8, 31.91,     189992, 0,-4318787.00,28.000,11, 4 , -, 2.33%,  5.00%,  4.82%, 1.39%,  0.94%,  2.67%, 0.00%,  7.25%, 25.63%,  0.00%,  1.07%, 41.53%,  7.36%, 15690.44, 771.29, 1025.62, 37685.00 , 3, 253, 95.51, 87, 170, 138.73, 93, 197, 118.62, 20.01%, 68.26%,0.00%, 5.13%, 6.81%, 0.00%, 0.00%, 0.00%, 0.00%, 12.81%, 21.60%,0.00%, 21.93%, 43.73%, 0.00%, 0.00%, 0.00%, 0.00%, 104.0, 0.0, 29.0, 0.0, 86.0, 0.0, 431.0, 9.284, 865
6, B-SLICE,    6, 33.20,      74496, 0,-4317146.00,30.271,14, 4 ,8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 12.81%, 11.93%,  0.00%,  1.19%, 66.32%,  7.75%, 14081.09, 720.54, 992.97, 22969.90 , 3, 253, 95.43, 87, 170, 138.77, 93, 193, 118.64, 0.00%, 83.82%,0.00%, 8.68%, 7.57%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 42.81%,0.00%, 32.34%, 24.85%, 0.00%, 0.00%, 0.00%, 0.00%, 5.0, 0.0, 133.0, 0.0, 61.0, 0.0, 558.0, 8.373, 747
7, b-SLICE,    5, 34.07,      33984, 0,3.81,29.741,16, 4 ,6 8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  7.61%,  7.18%,  0.00%,  0.96%, 78.11%,  6.15%, 13132.94, 710.09, 959.49, 16477.68 , 0, 255, 95.47, 88, 170, 138.78, 93, 196, 118.65, 0.00%, 91.25%,0.00%, 3.14%, 5.77%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 49.77%,0.00%, 23.84%, 26.39%, 0.00%, 0.00%, 0.00%, 0.00%, 2.0, 0.0, 126.0, 0.0, 53.0, 0.0, 570.0, 8.759, 536
8, b-SLICE,    7, 33.59,      48120, 0,-4282748.00,29.741,15, 6 ,8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  9.28%, 10.53%,  0.00%,  1.56%, 72.22%,  6.41%, 13922.99, 731.11, 952.58, 18711.75 , 3, 252, 95.52, 87, 170, 138.78, 93, 192, 118.66, 0.00%, 88.59%,0.00%, 5.19%, 6.26%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 43.10%,0.00%, 32.76%, 24.14%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 128.0, 0.0, 56.0, 0.0, 564.0, 7.694, 659
9, P-SLICE,   12, 31.83,     186512, 0,-4316505.00,28.000,11, 8 , -, 2.04%,  3.15%,  3.27%, 0.93%,  1.01%,  2.47%, 0.00%,  7.24%, 26.11%,  0.00%,  1.31%, 43.77%,  8.69%, 15801.27, 799.66, 994.16, 36269.64 , 0, 254, 95.59, 87, 169, 138.67, 93, 196, 118.60, 14.26%, 73.61%,0.00%, 5.43%, 6.78%, 0.00%, 0.00%, 0.00%, 0.00%, 10.88%, 24.70%,0.00%, 22.34%, 42.14%, 0.00%, 0.00%, 0.00%, 0.00%, 109.0, 0.0, 19.0, 0.0, 95.0, 0.0, 313.0, 8.079, 504
