Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, RateFactor, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
10, b-SLICE,    9, 35.94,       2008, 0,-1632889.00,30.271,26, 8 5 ,10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.09%,  0.27%,  0.36%,  0.90%,  0.00%,  0.18%,  0.09%,  0.54%, 23.30%, 65.05%,  7.80%,  1.43%, 13669.71, 1064.76, 3666.72, 13756.39 , 16, 252, 117.33, 76, 149, 131.03, 91, 179, 129.17, 0.00%, 99.62%,0.00%, 0.38%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.59%,0.00%, 0.41%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 95.65%,0.00%, 4.35%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 68.75%,0.00%, 28.12%, 3.12%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 33.0, 0.0, 37.0, 1.0, 371.0, 4.271, 17
11, P-SLICE,   15, 31.98,      13616, 0,-1635444.00,28.000,21, 10 8 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.19%, 0.57%,  0.13%,  0.95%, 0.51%,  0.44%,  2.34%, 0.00%,  0.44%,  1.27%,  2.09%,  6.34%,  0.00%,  0.25%,  0.63%,  2.09%, 13.56%, 51.39%, 11.03%,  5.77%, 13284.03, 1082.31, 3636.36, 15340.75 , 19, 252, 117.44, 76, 149, 131.01, 90, 179, 129.19, 0.00%, 96.83%,0.00%, 0.45%, 2.71%, 0.00%, 0.00%, 0.00%, 0.00%, 0.36%, 97.25%,0.00%, 0.96%, 1.43%, 0.00%, 0.00%, 0.00%, 0.00%, 10.70%, 75.72%,0.00%, 9.88%, 3.70%, 0.00%, 0.00%, 0.00%, 0.00%, 18.84%, 44.93%,0.00%, 22.10%, 14.13%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 32.0, 0.0, 42.0, 0.0, 343.0, 4.480, 100
12, B-SLICE,   13, 34.69,       2752, 0,-1635646.00,30.271,24, 10 8 ,15 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.17%,  0.42%,  1.44%,  1.35%,  0.00%,  0.51%,  0.17%,  1.35%, 21.24%, 62.94%,  8.38%,  2.03%, 13696.67, 1071.76, 3811.77, 13910.74 , 18, 252, 117.39, 76, 149, 131.02, 90, 179, 129.18, 0.00%, 99.21%,0.00%, 0.40%, 0.40%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.34%,0.00%, 0.53%, 0.13%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 85.59%,0.00%, 13.56%, 0.85%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 71.43%,0.00%, 23.21%, 5.36%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2.0, 0.0, 29.0, 0.0, 43.0, 0.0, 366.0, 5.909, 44
13, b-SLICE,   11, 35.95,       1792, 0,5.06,30.271,27, 10 8 ,13 15 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.57%,  1.15%,  0.92%,  0.00%,  0.23%,  0.34%,  0.46%, 39.20%, 46.67%,  8.16%,  2.30%, 13673.84, 1073.51, 3817.46, 13739.05 , 17, 252, 117.38, 76, 149, 131.02, 90, 179, 129.18, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.79%,0.00%, 1.21%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 88.10%,0.00%, 11.90%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 75.00%,0.00%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 28.0, 12.0, 33.0, 1.0, 387.0, 2.544, 9
14, b-SLICE,   12, 35.96,       1784, 0,-1634407.00,30.271,27, 10 8 ,13 15 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.46%,  0.68%,  1.48%,  0.00%,  0.00%,  0.00%,  0.00%, 38.93%, 46.69%,  8.68%,  3.08%, 13688.86, 1077.34, 3810.67, 13798.22 , 17, 252, 117.38, 76, 149, 131.02, 90, 179, 129.18, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.03%,0.00%, 0.97%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 92.68%,0.00%, 7.32%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 67.50%,0.00%, 27.50%, 5.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 30.0, 4.0, 49.0, 0.0, 401.0, 4.736, 27
15, b-SLICE,   14, 35.94,       1904, 0,-1635587.00,30.271,26, 13 10 ,15 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.27%,  0.27%,  0.72%,  0.00%,  0.00%,  0.00%,  0.00%, 23.42%, 66.13%,  7.39%,  1.80%, 13696.95, 1077.35, 3837.64, 13779.15 , 18, 252, 117.41, 76, 149, 131.02, 90, 179, 129.18, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.59%,0.00%, 0.41%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 96.47%,0.00%, 3.53%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 71.43%,0.00%, 28.57%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 35.0, 0.0, 48.0, 1.0, 394.0, 3.464, 16
16, P-SLICE,   20, 30.15,      14760, 0,-1619901.00,28.000,21, 15 13 , -, 0.00%,  0.00%,  0.00%, 0.13%,  0.00%,  0.20%, 0.00%,  0.13%,  0.53%, 0.60%,  0.40%,  2.99%, 0.00%,  1.39%,  2.12%,  2.26%,  5.98%,  0.00%,  0.33%,  0.80%,  2.46%, 13.55%, 53.19%,  6.77%,  6.18%, 13024.72, 1092.29, 3629.11, 15301.95 , 19, 253, 117.53, 76, 149, 131.03, 91, 179, 129.22, 0.00%, 90.67%,0.00%, 1.33%, 8.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.59%, 95.61%,0.00%, 0.47%, 3.32%, 0.00%, 0.00%, 0.00%, 0.00%, 6.33%, 72.15%,0.00%, 12.66%, 8.86%, 0.00%, 0.00%, 0.00%, 0.00%, 21.43%, 46.43%,0.00%, 20.00%, 12.14%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1.0, 0.0, 35.0, 0.0, 46.0, 0.0, 339.0, 3.564, 73
17, B-SLICE,   18, 34.92,       3112, 0,-1635213.00,30.271,24, 15 13 ,20 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.09%,  0.52%,  1.66%,  1.92%,  0.00%,  0.17%,  0.52%,  0.52%, 23.27%, 60.54%,  7.61%,  3.15%, 13805.26, 1074.69, 3853.14, 14093.47 , 18, 252, 117.47, 76, 150, 131.01, 90, 179, 129.19, 0.00%, 99.63%,0.00%, 0.37%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.14%,0.00%, 0.86%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 83.04%,0.00%, 16.07%, 0.89%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 65.62%,0.00%, 26.56%, 7.81%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 51.0, 11.0, 66.0, 0.0, 370.0, 3.860, 20
18, b-SLICE,   16, 35.96,       1768, 0,5.08,30.271,27, 15 13 ,18 20 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.24%,  0.83%,  0.59%,  0.00%,  0.00%,  0.00%,  0.00%, 40.07%, 50.12%,  7.33%,  0.83%, 13915.01, 1074.85, 3874.48, 14017.90 , 19, 252, 117.45, 76, 150, 131.01, 90, 179, 129.19, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.53%,0.00%, 0.47%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 89.86%,0.00%, 8.70%, 1.45%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 58.33%,0.00%, 33.33%, 8.33%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 43.0, 31.0, 37.0, 15.0, 400.0, 1.702, 5
19, b-SLICE,   17, 35.97,       1168, 0,-1635213.00,30.271,27, 15 13 ,18 20 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.12%,  0.37%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 41.82%, 51.78%,  5.90%,  0.00%, 13791.83, 1075.96, 3853.67, 13798.46 , 18, 252, 117.47, 76, 150, 131.01, 90, 179, 129.19, 0.00%, 99.71%,0.00%, 0.29%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.29%,0.00%, 0.47%, 0.24%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 36.0, 23.0, 42.0, 10.0, 399.0, 3.564, 13
