Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, RateFactor, Latency, List 0, List 1, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, 4x4, Inter 32x32, Inter 16x16, Skip 32x32, Skip 16x16, Merge 32x32, Merge 16x16, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 32.71,     737232, 0,0.00,25.087,14,  -, -, 4.80%,  3.50%,  9.64%,13.18%, 10.10%, 58.77%, 0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 16247.82, 1197.10, 1434.24, 193447.27 , 3, 255, 96.18, 82, 165, 131.32, 74, 192, 127.34, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.05%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 192.0, 0.0, 172.0, 0.0, 307.0, 0.0, 360.0, 12.242, 520
1, P-SLICE,    4, 32.47,     174592, 0,-5656696.00,28.000,11, 0 , -, 1.03%,  1.61%,  3.93%, 1.29%,  1.55%,  7.00%, 0.00%, 10.91%, 26.31%,  0.00%,  3.22%, 26.50%, 16.65%, 20172.64, 1241.19, 1440.64, 34933.60 , 3, 250, 96.14, 82, 166, 131.22, 71, 193, 127.54, 14.95%, 60.23%,0.00%, 12.65%, 12.16%, 0.00%, 0.00%, 0.00%, 0.00%, 17.59%, 35.48%,0.00%, 22.47%, 24.58%, 0.00%, 0.00%, 0.00%, 0.00%, 339.0, 0.0, 35.0, 1.0, 122.0, 0.0, 352.0, 9.407, 681
2, B-SLICE,    2, 32.84,      98736, 0,-5762016.00,30.271,14, 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 15.31%, 20.32%,  0.00%,  2.36%, 47.74%, 14.27%, 19787.86, 1237.59, 1627.35, 26894.61 , 0, 248, 95.90, 80, 166, 131.18, 66, 192, 127.40, 0.00%, 75.67%,0.00%, 11.82%, 12.59%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 45.03%,0.00%, 32.12%, 22.92%, 0.00%, 0.00%, 0.00%, 0.00%, 352.0, 0.0, 155.0, 5.0, 85.0, 0.0, 494.0, 7.466, 376
3, b-SLICE,    1, 33.72,      42072, 0,3.78,29.741,16, 0 ,2 4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  7.07%, 12.12%,  0.00%,  1.88%, 70.30%,  8.64%, 17334.58, 1091.71, 1528.58, 19853.54 , 2, 246, 96.17, 81, 166, 131.32, 72, 192, 127.40, 0.00%, 90.83%,0.00%, 5.98%, 3.19%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 46.47%,0.00%, 32.61%, 20.92%, 0.00%, 0.00%, 0.00%, 0.00%, 364.0, 0.0, 154.0, 1.0, 60.0, 0.0, 511.0, 7.633, 361
4, b-SLICE,    3, 33.92,      45848, 0,-5641150.00,29.741,15, 2 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  8.01%, 13.12%,  0.00%,  2.25%, 65.04%, 11.58%, 18721.21, 1194.69, 1511.22, 21428.25 , 1, 245, 96.14, 84, 166, 131.25, 70, 193, 127.53, 0.00%, 89.01%,0.00%, 6.49%, 4.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 51.32%,0.00%, 29.82%, 18.86%, 0.00%, 0.00%, 0.00%, 0.00%, 2.0, 0.0, 155.0, 0.0, 59.0, 0.0, 511.0, 8.863, 373
5, P-SLICE,    8, 32.57,     192336, 0,-5739253.00,28.000,11, 4 , -, 1.42%,  2.59%,  4.52%, 1.56%,  1.56%,  5.81%, 0.00%,  8.95%, 30.36%,  0.00%,  4.56%, 23.09%, 15.60%, 21067.49, 1268.08, 1437.57, 38920.55 , 2, 249, 96.43, 82, 166, 131.17, 68, 191, 127.62, 21.01%, 56.96%,0.00%, 13.32%, 8.76%, 0.00%, 0.00%, 0.00%, 0.00%, 15.05%, 33.93%,0.00%, 27.05%, 24.11%, 0.00%, 0.00%, 0.00%, 0.00%, 126.0, 0.0, 28.0, 0.0, 117.0, 0.0, 489.0, 10.311, 511
6, B-SLICE,    6, 33.17,      96008, 0,-5787403.00,30.271,14, 4 ,8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 15.29%, 20.61%,  0.00%,  3.87%, 46.77%, 13.46%, 21235.14, 1296.76, 1599.89, 28890.26 , 1, 244, 96.13, 80, 166, 131.12, 67, 194, 127.53, 0.00%, 75.39%,0.00%, 15.75%, 8.95%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 45.67%,0.00%, 36.80%, 17.53%, 0.00%, 0.00%, 0.00%, 0.00%, 4.0, 0.0, 276.0, 4.0, 87.0, 0.0, 761.0, 7.806, 243
7, b-SLICE,    5, 33.96,      46072, 0,3.90,29.741,16, 4 ,6 8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  8.21%, 14.26%,  0.00%,  2.10%, 63.26%, 12.17%, 18833.19, 1233.53, 1501.06, 21462.97 , 0, 247, 96.22, 81, 166, 131.22, 70, 194, 127.59, 0.00%, 88.53%,0.00%, 7.27%, 4.24%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 50.00%,0.00%, 32.86%, 17.14%, 0.00%, 0.00%, 0.00%, 0.00%, 2.0, 0.0, 271.0, 2.0, 70.0, 0.0, 772.0, 7.747, 274
8, b-SLICE,    7, 33.66,      60016, 0,-5722074.00,29.741,15, 6 ,8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 10.86%, 17.03%,  0.00%,  2.85%, 55.31%, 13.96%, 19531.16, 1239.94, 1487.37, 23739.35 , 2, 248, 96.41, 83, 166, 131.22, 68, 194, 127.61, 0.00%, 83.71%,0.00%, 10.47%, 5.99%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 49.67%,0.00%, 34.40%, 15.93%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 270.0, 0.0, 63.0, 0.0, 763.0, 6.095, 321
9, P-SLICE,   12, 32.92,     188512, 0,-5707419.00,28.000,11, 8 , -, 2.04%,  3.17%,  4.48%, 1.74%,  1.43%,  6.09%, 0.00%,  8.88%, 29.16%,  0.00%,  4.17%, 21.72%, 17.12%, 21265.57, 1276.11, 1412.94, 38384.51 , 4, 252, 96.60, 83, 167, 131.38, 69, 189, 127.54, 24.06%, 53.91%,0.00%, 11.68%, 10.30%, 0.00%, 0.00%, 0.00%, 0.00%, 15.59%, 35.77%,0.00%, 23.86%, 25.20%, 0.00%, 0.00%, 0.00%, 0.00%, 253.0, 0.0, 19.0, 0.0, 120.0, 0.0, 477.0, 9.856, 588
