Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, RateFactor, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 31.66,     203776, 0,0.00,25.087,25,  -, -, 0.00%,  0.00%,  0.00%, 4.38%,  2.38%, 17.89%, 4.94%,  1.32%, 15.35%, 5.61%,  1.74%, 23.05%,23.35%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 26338.72, 1895.90, 5991.09, 98219.95 , 19, 253, 117.68, 76, 149, 131.02, 90, 179, 129.25, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 198.0, 0.0, 145.0, 0.0, 756.0, 0.0, 329.0, 5.951, 186
1, P-SLICE,    5, 30.90,      10840, 0,-1615887.00,28.000,21, 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.05%,  0.00%,  0.00%, 0.29%,  0.24%,  0.38%, 0.00%,  0.53%,  0.86%,  0.38%,  2.34%,  0.00%,  0.19%,  0.00%,  0.00%, 15.11%, 14.35%, 19.94%, 45.34%, 26148.94, 1785.66, 6226.56, 27052.54 , 19, 253, 117.67, 76, 149, 130.98, 90, 179, 129.22, 0.00%, 96.64%,0.00%, 0.00%, 3.36%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 94.41%,0.00%, 0.93%, 4.66%, 0.00%, 0.00%, 0.00%, 0.00%, 0.23%, 97.89%,0.00%, 1.17%, 0.70%, 0.00%, 0.00%, 0.00%, 0.00%, 1.87%, 93.31%,0.00%, 3.15%, 1.67%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 212.0, 62.0, 71.0, 65.0, 27.0, 50.0, 308.0, 1.958, 16
2, B-SLICE,    3, 33.56,       5728, 0,-1615782.00,30.271,24, 0 ,5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.17%,  1.66%,  0.91%,  3.90%,  0.00%,  0.17%,  0.08%,  0.25%, 30.10%, 20.65%, 13.76%, 28.36%, 25863.91, 1704.77, 6289.18, 26101.20 , 19, 253, 117.68, 76, 149, 130.99, 90, 179, 129.22, 0.00%, 99.45%,0.00%, 0.00%, 0.55%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 92.62%,0.00%, 1.11%, 6.27%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 93.82%,0.00%, 3.93%, 2.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 88.01%,0.00%, 9.18%, 2.81%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 225.0, 103.0, 43.0, 17.0, 27.0, 7.0, 338.0, 3.142, 3
3, b-SLICE,    1, 33.17,       4624, 0,4.99,29.600,27, 0 ,3 5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.18%,  0.54%,  0.63%,  3.41%,  0.00%,  0.00%,  0.00%,  0.00%, 34.59%, 16.71%, 12.13%, 31.81%, 25596.07, 1717.38, 6230.87, 25805.55 , 19, 253, 117.69, 76, 149, 130.99, 90, 179, 129.22, 0.00%, 99.48%,0.00%, 0.00%, 0.52%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 96.88%,0.00%, 0.52%, 2.60%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 95.07%,0.00%, 4.23%, 0.70%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 90.31%,0.00%, 6.89%, 2.81%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 239.0, 104.0, 55.0, 9.0, 30.0, 1.0, 365.0, 2.740, 54
4, b-SLICE,    2, 33.17,       4960, 0,-1613201.00,29.600,27, 0 ,3 5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.09%,  0.44%,  0.71%,  4.88%,  0.00%,  0.00%,  0.00%,  0.00%, 34.22%, 16.49%, 11.88%, 31.29%, 25724.34, 1717.86, 6262.75, 25932.41 , 19, 253, 117.68, 76, 149, 130.99, 90, 179, 129.22, 0.00%, 99.74%,0.00%, 0.00%, 0.26%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.38%,0.00%, 1.05%, 1.57%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 94.37%,0.00%, 3.52%, 2.11%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 86.52%,0.00%, 8.33%, 5.15%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1.0, 0.0, 56.0, 8.0, 28.0, 0.0, 372.0, 3.080, 16
5, b-SLICE,    4, 33.57,       1784, 0,-1615782.00,29.600,26, 3 0 ,5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.66%,  0.66%,  0.00%,  0.17%,  0.00%,  0.00%,  0.00%,  0.00%, 66.50%, 26.73%,  3.47%,  1.82%, 25767.46, 1696.13, 6310.03, 25783.28 , 19, 253, 117.68, 76, 149, 130.99, 90, 179, 129.22, 0.00%, 99.02%,0.00%, 0.00%, 0.98%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.59%,0.00%, 0.60%, 1.81%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 91.67%,0.00%, 8.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 3.0, 0.0, 39.0, 0.0, 36.0, 0.0, 364.0, 5.618, 45
6, P-SLICE,   10, 29.69,      13264, 0,-1631333.00,28.000,21, 5 3 , -, 0.00%,  0.00%,  0.00%, 0.09%,  0.00%,  0.18%, 0.26%,  0.00%,  0.00%, 0.26%,  0.26%,  1.93%, 0.00%,  4.84%,  4.57%,  1.50%,  6.51%,  0.00%,  0.79%,  0.09%,  1.14%, 26.12%, 23.22%, 14.78%, 13.46%, 27168.30, 1708.98, 6458.06, 28271.09 , 19, 253, 118.65, 75, 149, 131.00, 90, 180, 129.23, 0.00%, 84.38%,0.00%, 2.56%, 13.07%, 0.00%, 0.00%, 0.00%, 0.00%, 0.91%, 83.23%,0.00%, 4.57%, 11.28%, 0.00%, 0.00%, 0.00%, 0.00%, 1.59%, 89.42%,0.00%, 4.76%, 4.23%, 0.00%, 0.00%, 0.00%, 0.00%, 10.45%, 61.94%,0.00%, 18.66%, 8.96%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2.0, 11.0, 21.0, 1.0, 44.0, 0.0, 331.0, 5.916, 70
7, B-SLICE,    8, 32.57,       5720, 0,-1632835.00,30.271,24, 5 3 ,10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.76%,  1.52%,  1.77%,  4.29%,  0.00%,  0.25%,  0.13%,  0.25%, 48.11%, 26.26%, 10.61%,  6.06%, 26584.48, 1656.91, 6513.00, 26748.26 , 19, 253, 118.65, 75, 149, 131.00, 90, 180, 129.23, 0.00%, 98.45%,0.00%, 0.78%, 0.78%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 94.59%,0.00%, 3.15%, 2.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 85.86%,0.00%, 11.11%, 3.03%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 59.52%,0.00%, 27.38%, 13.10%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2.0, 5.0, 37.0, 11.0, 59.0, 0.0, 358.0, 2.756, 13
8, b-SLICE,    6, 32.91,       5000, 0,3.48,29.600,27, 5 3 ,8 10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.77%,  0.82%,  1.50%,  6.53%,  0.00%,  0.41%,  0.14%,  0.82%, 52.93%, 21.90%,  6.94%,  6.26%, 26400.66, 1641.12, 6511.16, 26596.00 , 19, 253, 118.66, 76, 149, 131.00, 90, 179, 129.23, 0.00%, 96.77%,0.00%, 1.24%, 1.99%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 96.47%,0.00%, 2.35%, 1.18%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 82.54%,0.00%, 14.29%, 3.17%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 52.00%,0.00%, 27.00%, 21.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 1.0, 39.0, 27.0, 43.0, 4.0, 388.0, 2.082, 0
9, b-SLICE,    7, 33.38,       4280, 0,-1628944.00,29.600,27, 5 3 ,8 10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.56%,  0.98%,  1.53%,  5.58%,  0.00%,  0.00%,  0.00%,  0.00%, 55.51%, 22.87%,  7.39%,  5.58%, 26455.81, 1645.48, 6509.41, 26608.64 , 19, 253, 118.65, 75, 150, 131.00, 90, 180, 129.23, 0.00%, 99.00%,0.00%, 0.50%, 0.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 95.91%,0.00%, 1.17%, 2.92%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 82.81%,0.00%, 10.94%, 6.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 50.00%,0.00%, 28.75%, 21.25%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 40.0, 20.0, 34.0, 3.0, 393.0, 2.238, 2
