Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, RateFactor, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 25.73,     463040, 0,0.00,25.087,25,  -, -, 0.00%,  0.00%,  0.00%, 2.61%,  3.47%, 10.98%, 5.99%,  2.88%, 14.91%, 5.06%,  1.93%, 21.58%,30.59%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 12407.58, 1081.18, 3185.47, 85578.69 , 17, 253, 117.78, 76, 150, 130.97, 90, 179, 129.23, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.01%, 177.0, 0.0, 146.0, 0.0, 819.0, 0.0, 313.0, 6.658, 101
1, P-SLICE,    5, 31.26,       6920, 0,-1612227.00,28.000,21, 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.39%,  0.00%,  0.65%, 0.00%,  0.33%,  0.39%,  0.59%,  3.14%,  0.00%,  0.00%,  0.00%,  0.00%, 14.90%, 48.89%, 27.32%,  3.40%, 12465.45, 1045.86, 3544.47, 13249.16 , 19, 253, 117.78, 76, 150, 130.96, 90, 179, 129.23, 0.00%, 97.85%,0.00%, 0.00%, 2.15%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.20%,0.00%, 0.13%, 0.66%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.89%,0.00%, 0.70%, 1.41%, 0.00%, 0.00%, 0.00%, 0.00%, 13.79%, 44.83%,0.00%, 27.59%, 13.79%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 190.0, 66.0, 68.0, 57.0, 30.0, 41.0, 291.0, 2.140, 2
2, B-SLICE,    3, 34.85,       1072, 0,-1611873.00,30.271,24, 0 ,5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.14%,  0.14%,  0.55%,  0.00%,  0.41%,  0.00%,  0.00%, 50.07%, 45.54%,  1.51%,  1.65%, 12599.18, 1042.13, 3590.22, 12618.57 , 19, 253, 117.77, 76, 150, 130.97, 90, 179, 129.23, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.70%,0.00%, 0.30%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 91.67%,0.00%, 8.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 75.00%,0.00%, 18.75%, 6.25%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 203.0, 90.0, 47.0, 27.0, 26.0, 15.0, 320.0, 2.482, 4
3, b-SLICE,    1, 36.00,        784, 0,5.04,30.271,27, 0 ,3 5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 54.39%, 45.61%,  0.00%,  0.00%, 12495.06, 1047.05, 3599.07, 12495.06 , 19, 253, 117.77, 76, 150, 130.97, 90, 179, 129.23, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 216.0, 101.0, 36.0, 8.0, 31.0, 0.0, 346.0, 2.973, 4
4, b-SLICE,    2, 36.00,        784, 0,-1611161.00,30.271,27, 0 ,3 5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.15%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 54.24%, 45.61%,  0.00%,  0.00%, 12497.42, 1046.93, 3599.02, 12497.42 , 19, 253, 117.77, 76, 150, 130.97, 90, 179, 129.23, 0.00%, 99.73%,0.00%, 0.27%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1.0, 0.0, 41.0, 1.0, 35.0, 0.0, 348.0, 6.169, 112
5, b-SLICE,    4, 36.00,        880, 0,-1611130.00,30.271,26, 3 0 ,5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 64.23%, 35.77%,  0.00%,  0.00%, 12532.70, 1043.32, 3641.11, 12532.70 , 19, 253, 117.78, 76, 150, 130.97, 90, 179, 129.23, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 3.0, 0.0, 31.0, 0.0, 27.0, 0.0, 339.0, 5.320, 13
6, P-SLICE,   10, 31.68,       5896, 0,-1596063.00,28.000,21, 5 3 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.32%,  0.00%,  0.49%, 0.00%,  0.08%,  0.41%,  0.16%,  4.62%,  0.00%,  0.32%,  0.16%,  0.65%, 21.33%, 56.04%, 11.44%,  3.97%, 12327.80, 1077.12, 3422.21, 13075.77 , 19, 253, 117.81, 76, 149, 131.00, 90, 180, 129.25, 0.00%, 99.62%,0.00%, 0.38%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.29%,0.00%, 0.29%, 0.43%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.62%,0.00%, 0.69%, 0.69%, 0.00%, 0.00%, 0.00%, 0.00%, 8.06%, 45.97%,0.00%, 26.61%, 19.35%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2.0, 0.0, 25.0, 0.0, 27.0, 0.0, 312.0, 5.902, 91
7, B-SLICE,    8, 35.00,       1240, 0,-1610362.00,30.271,24, 5 3 ,10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%,  0.11%,  0.21%,  0.00%,  0.00%,  0.00%,  0.00%, 32.37%, 61.65%,  4.17%,  1.50%, 12757.11, 1044.78, 3613.77, 12764.33 , 19, 253, 117.77, 76, 150, 130.97, 90, 179, 129.23, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.50%,0.00%, 2.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 87.50%,0.00%, 12.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2.0, 0.0, 23.0, 0.0, 31.0, 0.0, 332.0, 7.256, 80
8, b-SLICE,    6, 35.89,        944, 0,5.23,30.271,27, 5 3 ,8 10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.15%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 58.64%, 36.97%,  4.24%,  0.00%, 12629.44, 1041.71, 3613.62, 12631.49 , 19, 253, 117.78, 76, 150, 130.96, 90, 179, 129.23, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.59%,0.00%, 0.00%, 0.41%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 26.0, 8.0, 29.0, 0.0, 356.0, 2.451, 14
9, b-SLICE,    7, 36.00,        936, 0,-1610362.00,30.271,27, 5 3 ,8 10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%,  0.00%,  0.30%,  0.00%,  0.00%,  0.00%,  0.00%, 58.11%, 36.64%,  4.65%,  0.30%, 12739.33, 1044.54, 3615.10, 12745.39 , 19, 253, 117.77, 76, 150, 130.97, 90, 179, 129.23, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 50.00%,0.00%, 25.00%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 33.0, 1.0, 32.0, 0.0, 359.0, 5.587, 18
