Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, RateFactor, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 31.31,     215632, 0,0.00,25.087,25,  -, -, 0.00%,  0.00%,  0.00%, 5.03%,  3.75%, 16.22%, 4.87%,  1.27%, 14.50%, 5.24%,  2.26%, 23.58%,23.28%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 27063.89, 1872.59, 5909.62, 102495.11 , 20, 253, 117.63, 76, 150, 130.98, 89, 179, 129.23, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 209.0, 0.0, 140.0, 0.0, 738.0, 0.0, 337.0, 6.013, 125
1, P-SLICE,    5, 31.38,      17440, 0,-1624068.00,28.000,21, 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.09%, 0.18%,  0.09%,  0.32%, 0.55%,  0.32%,  1.89%, 0.00%,  0.14%,  0.42%,  0.37%,  4.25%,  0.00%,  0.14%,  0.09%,  0.32%, 14.54%, 16.07%, 16.94%, 43.26%, 26099.18, 1790.61, 5920.09, 30199.03 , 19, 253, 117.66, 76, 150, 131.01, 89, 179, 129.25, 0.00%, 99.06%,0.00%, 0.00%, 0.94%, 0.00%, 0.00%, 0.00%, 0.00%, 0.55%, 96.96%,0.00%, 0.28%, 2.21%, 0.00%, 0.00%, 0.00%, 0.00%, 3.33%, 94.62%,0.00%, 1.54%, 0.51%, 0.00%, 0.00%, 0.00%, 0.00%, 5.47%, 86.13%,0.00%, 7.03%, 1.37%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 223.0, 57.0, 71.0, 65.0, 25.0, 50.0, 306.0, 2.238, 59
2, B-SLICE,    3, 33.71,      10496, 0,-1636855.00,30.271,24, 0 ,5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.13%,  0.20%,  1.20%,  8.28%,  0.00%,  0.00%,  0.20%,  1.07%, 23.78%, 18.24%, 12.16%, 34.74%, 26351.08, 1728.33, 6126.71, 27509.72 , 20, 253, 117.63, 76, 150, 130.98, 89, 179, 129.23, 0.00%, 99.72%,0.00%, 0.00%, 0.56%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.91%,0.00%, 0.36%, 0.72%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 91.13%,0.00%, 7.88%, 0.99%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 81.21%,0.00%, 14.09%, 4.70%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 239.0, 97.0, 46.0, 14.0, 33.0, 6.0, 348.0, 3.398, 27
3, b-SLICE,    1, 33.74,       7088, 0,4.87,29.600,27, 0 ,3 5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.07%,  0.14%,  1.22%,  6.38%,  0.00%,  0.00%,  0.07%,  0.57%, 26.81%, 15.56%, 10.54%, 38.64%, 26233.73, 1715.77, 6151.79, 26714.32 , 20, 253, 117.64, 76, 150, 130.98, 89, 179, 129.22, 0.00%, 99.73%,0.00%, 0.27%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.09%,0.00%, 0.00%, 0.91%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 89.70%,0.00%, 7.88%, 2.42%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 86.01%,0.00%, 9.59%, 4.40%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 252.0, 98.0, 48.0, 10.0, 26.0, 1.0, 378.0, 3.244, 65
4, b-SLICE,    2, 33.99,       2552, 0,-1636855.00,29.600,27, 0 ,3 5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.40%,  0.32%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 29.83%, 17.98%, 11.69%, 39.78%, 26309.07, 1723.25, 6148.61, 26328.95 , 20, 253, 117.63, 76, 150, 130.98, 89, 179, 129.23, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.84%,0.00%, 0.43%, 1.73%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.35%,0.00%, 0.66%, 1.99%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1.0, 0.0, 59.0, 9.0, 27.0, 0.0, 380.0, 2.904, 49
5, b-SLICE,    4, 33.75,       7392, 0,-1637261.00,29.600,26, 3 0 ,5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.12%,  0.00%,  1.72%, 12.42%,  0.00%,  0.00%,  0.62%,  2.58%, 47.72%, 27.06%,  5.04%,  2.71%, 26232.19, 1697.13, 6173.82, 26753.25 , 20, 253, 117.63, 76, 150, 130.98, 89, 179, 129.23, 0.00%, 99.74%,0.00%, 0.00%, 0.26%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 76.67%,0.00%, 18.33%, 5.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 29.86%,0.00%, 50.69%, 19.44%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 3.0, 0.0, 37.0, 0.0, 35.0, 0.0, 363.0, 4.167, 18
6, P-SLICE,   10, 31.74,      15160, 0,-1629439.00,28.000,21, 5 3 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.09%, 0.28%,  0.09%,  0.38%, 2.37%,  1.23%,  4.18%, 0.00%,  0.19%,  0.76%,  0.76%,  6.84%,  0.00%,  0.19%,  0.47%,  1.99%, 32.10%, 37.13%,  7.41%,  3.51%, 26294.93, 1695.71, 6123.68, 30152.49 , 18, 253, 117.66, 76, 150, 130.97, 89, 179, 129.23, 0.00%, 99.41%,0.00%, 0.00%, 0.59%, 0.00%, 0.00%, 0.00%, 0.00%, 0.25%, 97.76%,0.00%, 0.50%, 1.49%, 0.00%, 0.00%, 0.00%, 0.00%, 8.08%, 83.84%,0.00%, 5.05%, 3.03%, 0.00%, 0.00%, 0.00%, 0.00%, 38.68%, 27.36%,0.00%, 18.87%, 15.09%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2.0, 0.0, 30.0, 0.0, 34.0, 0.0, 326.0, 4.929, 51
7, B-SLICE,    8, 33.27,       9936, 0,-1629943.00,30.271,24, 5 3 ,10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.69%,  1.72%,  1.60%, 12.60%,  0.00%,  0.00%,  0.34%,  2.18%, 42.04%, 31.04%,  3.32%,  4.47%, 26110.78, 1689.10, 6116.39, 27121.65 , 19, 253, 117.66, 76, 150, 130.97, 89, 179, 129.23, 0.00%, 98.39%,0.00%, 0.27%, 1.34%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 94.76%,0.00%, 1.75%, 3.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 69.57%,0.00%, 10.87%, 19.57%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 34.52%,0.00%, 47.62%, 17.86%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1.0, 0.0, 26.0, 0.0, 33.0, 0.0, 349.0, 5.709, 73
8, b-SLICE,    6, 33.72,       8504, 0,4.94,29.600,27, 5 3 ,8 10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.12%,  0.23%,  1.39%, 14.40%,  0.00%,  0.23%,  0.81%,  1.16%, 43.79%, 30.20%,  4.18%,  3.48%, 25834.75, 1680.75, 6068.37, 26502.20 , 19, 253, 117.67, 76, 150, 130.98, 89, 179, 129.23, 0.00%, 99.74%,0.00%, 0.26%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.24%,0.00%, 0.76%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 78.18%,0.00%, 18.18%, 3.64%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 24.39%,0.00%, 51.83%, 23.78%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 25.0, 3.0, 32.0, 0.0, 372.0, 5.231, 64
9, b-SLICE,    7, 33.68,       8752, 0,-1629097.00,29.600,27, 5 3 ,8 10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.58%,  1.74%, 13.08%,  0.00%,  0.46%,  1.27%,  2.08%, 43.52%, 30.44%,  3.47%,  3.36%, 26009.23, 1675.27, 6126.35, 26664.61 , 19, 253, 117.66, 76, 150, 130.98, 89, 179, 129.23, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.16%,0.00%, 1.10%, 0.74%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 73.21%,0.00%, 21.43%, 5.36%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 29.38%,0.00%, 53.12%, 17.50%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 28.0, 0.0, 40.0, 0.0, 380.0, 4.536, 36
