Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, RateFactor, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
10, b-SLICE,    9, 34.53,       5480, 0,-1632889.00,29.600,26, 8 5 ,10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.26%,  1.28%,  3.59%,  8.85%,  0.00%,  0.90%,  0.51%,  0.38%, 50.51%, 22.18%,  5.38%,  6.15%, 27338.08, 1888.16, 6572.48, 27724.58 , 16, 252, 117.33, 76, 149, 131.03, 91, 179, 129.17, 0.00%, 99.75%,0.00%, 0.00%, 0.51%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 94.74%,0.00%, 4.21%, 1.05%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 62.16%,0.00%, 25.68%, 12.16%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 42.50%,0.00%, 37.50%, 20.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 34.0, 0.0, 43.0, 0.0, 372.0, 4.038, 44
11, P-SLICE,   15, 32.54,      12800, 0,-1635444.00,28.000,21, 10 8 , -, 0.00%,  0.00%,  0.00%, 0.11%,  0.00%,  0.44%, 0.33%,  0.00%,  1.21%, 1.10%,  0.77%,  5.39%, 0.00%,  1.10%,  1.32%,  3.63%,  8.36%,  0.00%,  0.22%,  0.44%,  0.99%, 41.25%, 22.44%,  5.06%,  5.83%, 27561.11, 1898.94, 6589.18, 30085.57 , 19, 252, 117.44, 76, 149, 131.01, 90, 179, 129.19, 0.00%, 97.40%,0.00%, 0.26%, 2.34%, 0.00%, 0.00%, 0.00%, 0.00%, 2.24%, 92.38%,0.00%, 3.14%, 2.24%, 0.00%, 0.00%, 0.00%, 0.00%, 14.43%, 51.55%,0.00%, 22.68%, 11.34%, 0.00%, 0.00%, 0.00%, 0.00%, 32.35%, 30.39%,0.00%, 22.06%, 15.20%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 1.0, 31.0, 0.0, 48.0, 0.0, 341.0, 4.118, 93
12, B-SLICE,   13, 34.60,       6552, 0,-1635646.00,30.271,24, 10 8 ,15 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.38%,  2.01%,  3.13%, 11.78%,  0.00%,  0.50%,  0.38%,  1.63%, 49.50%, 20.30%,  4.76%,  5.64%, 27371.37, 1887.74, 6611.27, 27799.94 , 18, 252, 117.39, 76, 149, 131.02, 90, 179, 129.18, 0.00%, 99.24%,0.00%, 0.25%, 0.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 91.21%,0.00%, 4.95%, 3.85%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 62.12%,0.00%, 22.73%, 15.15%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 38.16%,0.00%, 46.05%, 15.79%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2.0, 0.0, 31.0, 12.0, 37.0, 2.0, 367.0, 3.120, 27
13, b-SLICE,   11, 34.54,       4984, 0,5.06,29.600,27, 10 8 ,13 15 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.28%,  1.95%,  2.65%,  7.39%,  0.00%,  0.84%,  0.28%,  0.42%, 55.93%, 20.78%,  4.46%,  5.02%, 27427.63, 1886.89, 6618.93, 27675.99 , 17, 252, 117.38, 76, 149, 131.02, 90, 179, 129.18, 0.00%, 99.50%,0.00%, 0.00%, 0.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 91.72%,0.00%, 4.73%, 3.55%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 64.15%,0.00%, 30.19%, 5.66%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 42.39%,0.00%, 34.78%, 22.83%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 28.0, 9.0, 32.0, 0.0, 387.0, 2.460, 9
14, b-SLICE,   12, 34.54,       4960, 0,-1634407.00,29.600,27, 10 8 ,13 15 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.28%,  1.97%,  3.23%,  7.17%,  0.00%,  0.84%,  0.98%,  0.70%, 56.40%, 20.96%,  3.52%,  3.94%, 27424.79, 1887.33, 6618.62, 27674.96 , 17, 252, 117.38, 76, 149, 131.02, 90, 179, 129.18, 0.00%, 99.50%,0.00%, 0.00%, 0.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 91.72%,0.00%, 4.73%, 3.55%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 58.18%,0.00%, 32.73%, 9.09%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 39.29%,0.00%, 36.90%, 23.81%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 48.0, 1.0, 70.0, 0.0, 401.0, 4.873, 43
15, b-SLICE,   14, 34.60,       4736, 0,-1635587.00,29.600,26, 13 10 ,15 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.57%,  1.71%,  3.13%,  5.56%,  0.00%,  0.71%,  0.71%,  0.28%, 56.84%, 21.51%,  5.13%,  3.85%, 27362.37, 1885.77, 6615.57, 27604.97 , 18, 252, 117.41, 76, 149, 131.02, 90, 179, 129.18, 0.00%, 99.01%,0.00%, 0.25%, 0.74%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 92.86%,0.00%, 4.76%, 2.38%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 65.08%,0.00%, 20.63%, 14.29%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 42.65%,0.00%, 27.94%, 29.41%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 1.0, 37.0, 0.0, 61.0, 0.0, 393.0, 3.553, 74
16, P-SLICE,   20, 32.55,      12392, 0,-1619901.00,28.000,21, 15 13 , -, 0.00%,  0.00%,  0.00%, 0.45%,  0.00%,  0.00%, 0.11%,  0.00%,  1.57%, 1.23%,  0.34%,  4.03%, 0.00%,  1.57%,  2.01%,  2.80%,  9.28%,  0.00%,  0.22%,  0.45%,  1.57%, 41.39%, 23.27%,  3.80%,  5.93%, 27088.12, 1903.45, 6441.86, 29160.36 , 19, 253, 117.53, 76, 149, 131.03, 91, 179, 129.22, 0.00%, 96.35%,0.00%, 0.00%, 3.65%, 0.00%, 0.00%, 0.00%, 0.00%, 1.72%, 90.52%,0.00%, 3.45%, 4.31%, 0.00%, 0.00%, 0.00%, 0.00%, 19.23%, 48.72%,0.00%, 24.36%, 7.69%, 0.00%, 0.00%, 0.00%, 0.00%, 25.00%, 33.50%,0.00%, 28.00%, 13.50%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 35.0, 0.0, 70.0, 0.0, 340.0, 3.767, 46
17, B-SLICE,   18, 34.59,       6608, 0,-1635213.00,30.271,24, 15 13 ,20 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.76%,  1.15%,  4.20%, 10.43%,  0.00%,  0.25%,  0.76%,  2.16%, 50.25%, 20.10%,  4.20%,  5.73%, 27468.59, 1879.51, 6663.90, 27926.35 , 18, 252, 117.47, 76, 150, 131.01, 90, 179, 129.19, 0.00%, 98.50%,0.00%, 0.25%, 1.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 94.67%,0.00%, 2.37%, 2.96%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 54.17%,0.00%, 36.11%, 9.72%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 43.06%,0.00%, 42.36%, 14.58%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 36.0, 22.0, 35.0, 8.0, 364.0, 3.407, 21
18, b-SLICE,   16, 34.61,       4144, 0,5.08,29.600,27, 15 13 ,18 20 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.15%,  0.88%,  3.82%,  5.29%,  0.00%,  0.88%,  0.29%,  1.03%, 59.32%, 22.03%,  4.41%,  1.91%, 27443.46, 1877.36, 6673.00, 27700.73 , 19, 252, 117.45, 76, 150, 131.01, 90, 179, 129.19, 0.00%, 99.75%,0.00%, 0.00%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 96.30%,0.00%, 3.09%, 0.62%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 55.17%,0.00%, 36.21%, 8.62%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 35.71%,0.00%, 39.29%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 25.0, 11.0, 33.0, 1.0, 397.0, 2.953, 6
19, b-SLICE,   17, 34.76,       1512, 0,-1635213.00,29.600,27, 15 13 ,18 20 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.34%,  0.84%,  0.34%,  0.17%,  0.00%,  0.00%,  0.00%,  0.00%, 67.84%, 27.14%,  2.85%,  0.50%, 27424.56, 1880.92, 6671.30, 27461.73 , 18, 252, 117.47, 76, 150, 131.01, 90, 179, 129.19, 0.00%, 99.51%,0.00%, 0.00%, 0.49%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.01%,0.00%, 0.60%, 2.40%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 89.47%,0.00%, 0.00%, 10.53%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 75.00%,0.00%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 32.0, 4.0, 36.0, 0.0, 399.0, 4.904, 63
