Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, RateFactor, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 25.85,     455600, 0,0.00,25.087,25,  -, -, 0.00%,  0.00%,  0.00%, 2.23%,  3.32%, 11.19%, 6.33%,  3.14%, 15.21%, 5.03%,  1.82%, 21.85%,29.88%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 12985.36, 1130.63, 3234.41, 87591.28 , 20, 253, 117.63, 76, 150, 130.98, 89, 179, 129.23, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 201.0, 0.0, 157.0, 0.0, 841.0, 0.0, 347.0, 6.382, 185
1, P-SLICE,    5, 31.03,      13696, 0,-1624068.00,28.000,21, 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.06%,  0.12%, 0.30%,  0.18%,  0.49%, 0.55%,  0.55%,  2.19%, 0.00%,  0.24%,  1.70%,  0.55%,  5.40%,  0.00%,  0.43%,  0.30%,  1.09%, 13.05%, 46.45%, 24.71%,  1.64%, 13125.45, 1118.02, 3471.89, 17495.90 , 19, 253, 117.66, 76, 150, 131.01, 89, 179, 129.25, 0.00%, 98.17%,0.00%, 0.00%, 1.83%, 0.00%, 0.00%, 0.00%, 0.00%, 0.37%, 96.14%,0.00%, 0.62%, 2.86%, 0.00%, 0.00%, 0.00%, 0.00%, 3.66%, 94.28%,0.00%, 1.37%, 0.69%, 0.00%, 0.00%, 0.00%, 0.00%, 28.72%, 23.94%,0.00%, 36.70%, 10.64%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 214.0, 74.0, 72.0, 64.0, 26.0, 47.0, 310.0, 2.431, 46
2, B-SLICE,    3, 34.74,       3232, 0,-1636855.00,30.271,24, 0 ,5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%,  2.51%,  5.62%,  0.00%,  0.00%,  0.48%,  1.91%, 43.01%, 40.98%,  2.51%,  2.99%, 13887.88, 1095.22, 3669.11, 14620.16 , 20, 253, 117.63, 76, 150, 130.98, 89, 179, 129.23, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 54.35%,0.00%, 43.48%, 2.17%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 46.59%,0.00%, 39.77%, 13.64%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 229.0, 105.0, 40.0, 21.0, 26.0, 13.0, 350.0, 3.149, 65
3, b-SLICE,    1, 35.74,       2072, 0,4.87,30.271,27, 0 ,3 5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.13%,  0.40%,  3.98%,  0.00%,  0.00%,  0.00%,  0.00%, 49.54%, 39.44%,  3.05%,  3.45%, 14001.15, 1092.94, 3659.87, 14241.39 , 20, 253, 117.64, 76, 150, 130.98, 89, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.66%,0.00%, 0.34%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 88.46%,0.00%, 7.69%, 3.85%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 46.43%,0.00%, 42.86%, 10.71%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 243.0, 112.0, 33.0, 8.0, 32.0, 0.0, 378.0, 3.142, 10
4, b-SLICE,    2, 36.00,        912, 0,-1636855.00,30.271,27, 0 ,3 5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.15%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 54.77%, 45.08%,  0.00%,  0.00%, 13852.11, 1095.42, 3682.41, 13852.11 , 20, 253, 117.63, 76, 150, 130.98, 89, 179, 129.23, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.68%,0.00%, 0.32%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2.0, 0.0, 40.0, 3.0, 37.0, 0.0, 378.0, 4.933, 39
5, b-SLICE,    4, 35.79,       2056, 0,-1637261.00,30.271,26, 3 0 ,5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.44%,  2.19%,  3.07%,  0.00%,  0.00%,  0.00%,  0.00%, 57.75%, 30.12%,  2.49%,  3.95%, 13993.62, 1091.61, 3686.88, 14166.02 , 20, 253, 117.63, 76, 150, 130.98, 89, 179, 129.23, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.56%,0.00%, 1.44%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 53.12%,0.00%, 37.50%, 9.38%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 56.25%,0.00%, 33.33%, 10.42%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 3.0, 0.0, 33.0, 0.0, 35.0, 0.0, 361.0, 4.169, 22
6, P-SLICE,   10, 31.16,      13320, 0,-1629439.00,28.000,21, 5 3 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.08%,  0.15%, 0.08%,  0.15%,  0.46%, 0.85%,  1.08%,  2.86%, 0.00%,  0.23%,  0.62%,  1.31%,  4.41%,  0.00%,  0.23%,  0.39%,  1.55%, 19.64%, 55.30%,  7.42%,  3.17%, 13333.88, 1110.78, 3628.49, 17432.31 , 18, 253, 117.66, 76, 150, 130.97, 89, 179, 129.23, 0.00%, 98.83%,0.00%, 0.00%, 1.17%, 0.00%, 0.00%, 0.00%, 0.00%, 0.41%, 98.49%,0.00%, 0.27%, 0.82%, 0.00%, 0.00%, 0.00%, 0.00%, 7.09%, 79.53%,0.00%, 6.30%, 7.09%, 0.00%, 0.00%, 0.00%, 0.00%, 34.44%, 33.89%,0.00%, 21.11%, 10.56%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1.0, 0.0, 27.0, 0.0, 29.0, 0.0, 327.0, 4.711, 65
7, B-SLICE,    8, 34.79,       3384, 0,-1629943.00,30.271,24, 5 3 ,10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.11%,  0.33%,  0.77%,  5.83%,  0.00%,  0.00%,  0.00%,  0.00%, 37.40%, 45.76%,  3.74%,  6.05%, 13882.10, 1101.53, 3618.47, 14831.90 , 19, 253, 117.66, 76, 150, 130.97, 89, 179, 129.23, 0.00%, 99.71%,0.00%, 0.29%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.28%,0.00%, 0.48%, 0.24%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 82.93%,0.00%, 14.63%, 2.44%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 50.93%,0.00%, 33.33%, 15.74%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2.0, 0.0, 25.0, 0.0, 34.0, 0.0, 350.0, 6.056, 40
8, b-SLICE,    6, 35.70,       2368, 0,4.94,30.271,27, 5 3 ,8 10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.29%,  0.72%,  1.73%,  4.33%,  0.00%,  0.29%,  0.43%,  1.88%, 56.85%, 28.43%,  2.60%,  2.45%, 14035.22, 1103.70, 3560.18, 14326.94 , 19, 253, 117.67, 76, 150, 130.98, 89, 179, 129.23, 0.00%, 99.49%,0.00%, 0.25%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.55%,0.00%, 2.45%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 63.64%,0.00%, 33.33%, 3.03%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 50.00%,0.00%, 40.00%, 10.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 1.0, 40.0, 6.0, 58.0, 0.0, 378.0, 3.742, 4
9, b-SLICE,    7, 35.70,       2904, 0,-1629097.00,30.271,27, 5 3 ,8 10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.14%,  0.86%,  1.72%,  4.43%,  0.00%,  0.86%,  0.72%,  1.72%, 56.37%, 28.04%,  2.15%,  3.00%, 14094.97, 1108.54, 3632.36, 14673.12 , 19, 253, 117.66, 76, 150, 130.98, 89, 179, 129.23, 0.00%, 99.75%,0.00%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.12%,0.00%, 2.40%, 0.48%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 62.50%,0.00%, 37.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 51.56%,0.00%, 40.62%, 7.81%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 35.0, 0.0, 39.0, 0.0, 381.0, 4.929, 51
