Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, RateFactor, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 35.00,      99472, 0,0.00,25.087,25,  -, -, 0.00%,  0.00%,  0.00%, 7.62%,  2.80%, 20.17%, 5.44%,  0.84%, 14.54%, 6.30%,  2.27%, 21.86%,18.17%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 36720.58, 2558.18, 7583.79, 109398.19 , 19, 252, 117.90, 76, 149, 130.95, 90, 179, 129.25, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 200.0, 0.0, 126.0, 0.0, 705.0, 0.0, 313.0, 6.556, 193
1, P-SLICE,    5, 33.12,       3920, 0,-1612577.00,28.000,21, 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.05%, 0.00%,  0.00%,  0.29%,  0.14%,  1.05%,  0.00%,  0.00%,  0.00%,  0.00%, 16.81%,  9.48%, 21.86%, 50.33%, 35921.15, 2452.37, 7543.48, 36322.58 , 18, 253, 117.90, 76, 150, 130.95, 90, 179, 129.25, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.07%,0.00%, 0.00%, 2.93%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.35%,0.00%, 0.22%, 0.43%, 0.00%, 0.00%, 0.00%, 0.00%, 0.09%, 97.87%,0.00%, 1.20%, 0.83%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 212.0, 74.0, 42.0, 37.0, 25.0, 20.0, 310.0, 2.142, 17
2, B-SLICE,    3, 35.00,       1488, 0,-1611650.00,30.271,24, 0 ,5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.77%,  0.39%,  0.77%,  0.00%,  0.00%,  0.00%,  0.00%, 46.59%, 42.34%,  7.85%,  1.29%, 35562.29, 2418.18, 7616.27, 35608.18 , 18, 253, 117.90, 76, 149, 130.95, 90, 179, 129.25, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.21%,0.00%, 0.00%, 1.79%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 95.31%,0.00%, 4.69%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 62.50%,0.00%, 31.25%, 6.25%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 225.0, 85.0, 65.0, 18.0, 25.0, 8.0, 340.0, 2.522, 2
3, b-SLICE,    1, 35.00,       1136, 0,5.12,29.600,27, 0 ,3 5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.32%,  0.48%,  0.16%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 63.77%, 32.53%,  1.45%,  1.29%, 35434.67, 2424.38, 7589.09, 35469.16 , 18, 252, 117.91, 76, 149, 130.94, 90, 179, 129.25, 0.00%, 99.50%,0.00%, 0.00%, 0.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.54%,0.00%, 0.00%, 1.46%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 90.00%,0.00%, 0.00%, 10.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 238.0, 87.0, 63.0, 8.0, 29.0, 1.0, 368.0, 3.031, 4
4, b-SLICE,    2, 35.00,       1120, 0,-1612793.00,29.600,27, 0 ,3 5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.16%,  0.32%,  0.32%,  0.32%,  0.00%,  0.00%,  0.00%,  0.00%, 63.62%, 32.53%,  1.12%,  1.60%, 35571.36, 2424.87, 7598.62, 35581.46 , 18, 253, 117.90, 76, 150, 130.95, 90, 179, 129.25, 0.00%, 99.75%,0.00%, 0.00%, 0.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.02%,0.00%, 0.00%, 0.98%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 77.78%,0.00%, 22.22%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 83.33%,0.00%, 16.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1.0, 0.0, 74.0, 6.0, 28.0, 0.0, 369.0, 3.102, 0
5, b-SLICE,    4, 35.00,        936, 0,-1612577.00,29.600,26, 3 0 ,5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.58%,  0.78%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 82.56%, 15.31%,  0.78%,  0.00%, 35538.84, 2420.56, 7617.89, 35573.12 , 18, 253, 117.90, 76, 150, 130.95, 90, 179, 129.25, 0.00%, 99.30%,0.00%, 0.00%, 0.70%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 95.18%,0.00%, 1.20%, 3.61%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 3.0, 0.0, 35.0, 1.0, 26.0, 0.0, 363.0, 6.593, 59
6, P-SLICE,   10, 33.20,       2496, 0,-1615159.00,28.000,21, 5 3 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.26%,  0.00%,  0.26%, 0.00%,  0.00%,  0.79%,  0.26%,  3.02%,  0.00%,  0.00%,  0.00%,  0.00%, 49.74%, 33.86%,  8.53%,  3.28%, 35544.16, 2376.72, 7609.28, 35958.16 , 19, 252, 117.89, 76, 149, 130.95, 90, 179, 129.25, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.73%,0.00%, 0.38%, 1.89%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.01%,0.00%, 1.49%, 1.49%, 0.00%, 0.00%, 0.00%, 0.00%, 7.69%, 48.08%,0.00%, 34.62%, 9.62%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1.0, 0.0, 28.0, 0.0, 27.0, 0.0, 328.0, 5.111, 43
7, B-SLICE,    8, 35.00,       1248, 0,-1613896.00,30.271,24, 5 3 ,10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.74%,  0.37%,  0.37%,  0.74%,  0.00%,  0.00%,  0.00%,  0.00%, 78.96%, 15.46%,  1.12%,  2.23%, 35426.60, 2366.92, 7636.20, 35506.30 , 19, 252, 117.89, 76, 150, 130.95, 90, 179, 129.25, 0.00%, 99.07%,0.00%, 0.23%, 0.70%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.65%,0.00%, 1.18%, 1.18%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 75.00%,0.00%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 75.00%,0.00%, 6.25%, 18.75%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2.0, 0.0, 24.0, 0.0, 36.0, 0.0, 353.0, 7.502, 76
8, b-SLICE,    6, 35.00,        888, 0,5.32,29.600,27, 5 3 ,8 10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.19%,  0.58%,  0.00%,  0.39%,  0.00%,  0.00%,  0.00%,  0.00%, 83.91%, 11.24%,  1.74%,  1.94%, 35477.24, 2375.16, 7628.94, 35505.87 , 18, 253, 117.90, 76, 149, 130.95, 90, 179, 129.25, 0.00%, 99.77%,0.00%, 0.00%, 0.23%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 95.08%,0.00%, 0.00%, 4.92%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 83.33%,0.00%, 0.00%, 16.67%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 26.0, 5.0, 30.0, 0.0, 380.0, 3.958, 72
9, b-SLICE,    7, 35.00,       1016, 0,-1612380.00,29.600,27, 5 3 ,8 10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.39%,  0.19%,  0.39%,  0.19%,  0.00%,  0.00%,  0.00%,  0.00%, 83.04%, 12.33%,  1.35%,  2.12%, 35501.17, 2374.21, 7638.23, 35536.52 , 18, 252, 117.90, 76, 149, 130.95, 90, 179, 129.25, 0.00%, 99.54%,0.00%, 0.00%, 0.46%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.46%,0.00%, 0.00%, 1.54%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 77.78%,0.00%, 11.11%, 11.11%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 91.67%,0.00%, 0.00%, 8.33%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 39.0, 0.0, 56.0, 0.0, 385.0, 6.338, 46
