Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, RateFactor, Latency, List 0, List 1, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, 4x4, Inter 32x32, Inter 16x16, Skip 32x32, Skip 16x16, Merge 32x32, Merge 16x16, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
10, B-SLICE,   10, 34.00,      40232, 0,-3731639.00,30.271,14, 8 ,12 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 11.75%,  9.64%,  0.00%,  1.61%, 68.34%,  8.66%, 9877.89, 616.70, 821.07, 13928.02 , 0, 239, 83.62, 100, 163, 136.83, 97, 190, 120.46, 0.00%, 85.42%,0.00%, 7.51%, 7.23%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 51.58%,0.00%, 25.63%, 22.78%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 22.0, 11.0, 57.0, 0.0, 134.0, 6.070, 288
11, b-SLICE,    9, 36.00,      13736, 0,3.31,30.271,16, 8 ,10 12 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.94%,  2.76%,  0.00%,  0.39%, 91.25%,  2.66%, 10147.36, 591.97, 867.61, 11590.63 , 0, 239, 82.89, 101, 162, 136.58, 98, 189, 120.53, 0.00%, 96.97%,0.00%, 1.55%, 1.59%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 52.44%,0.00%, 18.90%, 28.66%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 21.0, 10.0, 47.0, 2.0, 148.0, 5.210, 159
12, b-SLICE,   11, 36.00,      14280, 0,-3715650.00,30.271,15, 10 ,12 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.54%,  3.53%,  0.00%,  0.78%, 91.24%,  1.91%, 10137.78, 628.49, 852.09, 11575.42 , 2, 239, 84.07, 101, 163, 136.96, 97, 191, 120.45, 0.00%, 97.35%,0.00%, 0.87%, 1.86%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 43.18%,0.00%, 26.70%, 30.11%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 24.0, 4.0, 49.0, 0.0, 140.0, 6.979, 237
13, P-SLICE,   16, 32.29,     183296, 0,-3843741.00,28.000,11, 12 , -, 7.83%, 12.74%, 12.81%, 1.22%,  1.12%,  3.44%, 0.00%, 11.47%, 33.58%,  0.00%,  0.97%, 11.57%,  3.24%, 10656.76, 692.50, 880.27, 27796.56 , 0, 241, 86.15, 99, 163, 137.04, 97, 194, 120.10, 59.22%, 20.57%,0.00%, 6.03%, 14.32%, 0.00%, 0.00%, 0.00%, 0.00%, 13.27%, 9.67%,0.00%, 23.05%, 53.95%, 0.00%, 0.00%, 0.00%, 0.00%, 3.0, 0.0, 21.0, 0.0, 112.0, 0.0, 88.0, 11.222, 592
14, B-SLICE,   14, 34.00,      40872, 0,-3802182.00,30.271,14, 12 ,16 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 11.13%,  8.14%,  0.00%,  1.37%, 72.72%,  6.64%, 10569.10, 675.79, 855.16, 15274.17 , 0, 241, 85.73, 99, 163, 137.10, 97, 190, 120.15, 0.00%, 86.74%,0.00%, 6.74%, 6.59%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 49.60%,0.00%, 29.44%, 20.97%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 26.0, 7.0, 60.0, 0.0, 124.0, 6.631, 499
15, b-SLICE,   13, 36.00,      15496, 0,3.45,30.271,16, 12 ,14 16 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.48%,  3.19%,  0.00%,  0.35%, 91.98%,  1.99%, 10582.58, 656.00, 887.29, 12167.86 , 3, 239, 85.03, 99, 163, 136.99, 98, 191, 120.26, 0.00%, 97.35%,0.00%, 1.25%, 1.40%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 42.31%,0.00%, 26.28%, 31.41%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 22.0, 3.0, 39.0, 0.0, 142.0, 8.514, 342
16, b-SLICE,   15, 36.00,      15792, 0,-3794500.00,30.271,15, 14 ,16 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.25%,  4.12%,  0.00%,  0.63%, 91.13%,  1.87%, 10844.62, 675.99, 881.38, 12679.62 , 3, 240, 86.09, 99, 163, 137.10, 97, 191, 120.15, 0.00%, 97.68%,0.00%, 0.76%, 1.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 37.77%,0.00%, 30.85%, 31.38%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 1.0, 21.0, 0.0, 36.0, 0.0, 123.0, 9.780, 312
17, P-SLICE,   20, 32.26,     188440, 0,-3877964.00,28.000,11, 16 , -, 6.29%, 10.70%, 12.71%, 1.23%,  1.10%,  2.81%, 0.00%, 11.55%, 34.44%,  0.00%,  0.85%, 15.64%,  2.68%, 10995.10, 700.40, 895.68, 29051.25 , 0, 240, 87.93, 97, 165, 137.17, 96, 192, 119.91, 52.25%, 27.49%,0.00%, 5.56%, 14.78%, 0.00%, 0.00%, 0.00%, 0.00%, 11.95%, 8.22%,0.00%, 22.68%, 57.43%, 0.00%, 0.00%, 0.00%, 0.00%, 5.0, 0.0, 17.0, 0.0, 105.0, 0.0, 82.0, 10.500, 515
18, B-SLICE,   18, 34.00,      41824, 0,-3844581.00,30.271,14, 16 ,20 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 10.68%,  7.94%,  0.00%,  1.11%, 73.18%,  7.10%, 10707.22, 686.73, 871.47, 15861.36 , 0, 239, 87.58, 95, 163, 137.20, 96, 191, 119.96, 0.00%, 87.32%,0.00%, 7.20%, 5.56%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 50.81%,0.00%, 28.43%, 20.77%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 24.0, 7.0, 55.0, 1.0, 106.0, 5.974, 289
19, b-SLICE,   17, 36.00,      15784, 0,3.69,30.271,16, 16 ,18 20 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.66%,  3.75%,  0.00%,  0.35%, 91.53%,  1.70%, 10737.67, 677.45, 899.05, 12603.44 , 0, 239, 86.82, 99, 163, 137.09, 97, 193, 120.01, 0.00%, 97.23%,0.00%, 1.14%, 1.71%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 35.37%,0.00%, 25.00%, 39.63%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 24.0, 7.0, 46.0, 0.0, 124.0, 5.515, 82
