Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, RateFactor, Latency, List 0, List 1, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, 4x4, Inter 32x32, Inter 16x16, Skip 32x32, Skip 16x16, Merge 32x32, Merge 16x16, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 31.24,     323768, 0,0.00,25.087,14,  -, -, 7.68%,  6.09%, 11.23%,14.05%, 11.88%, 49.07%, 0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 5997.32, 469.89, 770.94, 38508.80 , 7, 172, 52.07, 110, 145, 130.18, 104, 157, 127.17, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 200.0, 0.0, 158.0, 0.0, 259.0, 0.0, 353.0, 12.356, 319
1, P-SLICE,    4, 31.73,     478752, 0,1.77,28.000,11, 0 , -, 6.89%, 11.11%, 18.39%, 8.33%,  8.69%, 38.63%, 0.00%,  2.22%,  5.68%,  0.00%,  0.04%,  0.00%,  0.02%, 15652.66, 900.83, 1594.01, 117068.79 , 5, 203, 78.22, 95, 157, 131.42, 78, 177, 126.44, 94.30%, 0.00%,0.00%, 2.18%, 3.57%, 0.00%, 0.00%, 0.00%, 0.00%, 90.67%, 0.10%,0.00%, 3.36%, 5.90%, 0.00%, 0.00%, 0.00%, 0.00%, 336.0, 0.0, 31.0, 0.0, 189.0, 0.0, 341.0, 10.540, 421
2, B-SLICE,    2, 31.05,     125760, 0,-3215256.00,30.271,14, 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 21.09%, 28.15%,  0.00%,  0.78%, 36.62%, 13.35%, 11597.33, 688.72, 1355.94, 16776.40 , 5, 186, 64.97, 98, 153, 130.66, 90, 170, 126.79, 0.00%, 63.49%,0.00%, 5.88%, 30.72%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 33.43%,0.00%, 8.61%, 57.95%, 0.00%, 0.00%, 0.00%, 0.00%, 346.0, 0.0, 517.0, 10.0, 83.0, 0.0, 850.0, 6.931, 389
3, b-SLICE,    1, 30.21,      25608, 0,1.40,29.741,16, 0 ,2 4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 14.40%,  6.79%,  0.00%,  0.39%, 70.37%,  8.04%, 7518.50, 561.73, 1013.39, 8419.74 , 6, 179, 58.57, 106, 148, 130.45, 99, 163, 127.12, 0.00%, 83.04%,0.00%, 2.83%, 14.21%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 55.39%,0.00%, 15.30%, 29.31%, 0.00%, 0.00%, 0.00%, 0.00%, 358.0, 0.0, 515.0, 4.0, 50.0, 0.0, 864.0, 7.312, 481
4, b-SLICE,    3, 31.52,      35408, 0,-3464513.00,29.741,15, 2 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  8.42%, 10.91%,  0.00%,  0.81%, 66.46%, 13.41%, 10993.89, 673.02, 1286.45, 12413.36 , 6, 194, 71.85, 97, 154, 131.34, 85, 172, 126.88, 0.00%, 88.80%,0.00%, 3.38%, 7.90%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 56.58%,0.00%, 14.11%, 29.31%, 0.00%, 0.00%, 0.00%, 0.00%, 2.0, 0.0, 516.0, 0.0, 61.0, 0.0, 862.0, 9.580, 598
5, P-SLICE,    8, 31.80,     554440, 0,-5280315.00,28.000,11, 4 , -, 5.42%,  9.21%, 17.61%, 5.95%,  6.22%, 27.85%, 0.00%,  8.57%, 18.09%,  0.00%,  0.31%,  0.02%,  0.74%, 20381.54, 1167.27, 1877.50, 182357.21 , 1, 249, 97.18, 88, 165, 131.94, 71, 193, 125.90, 79.00%, 0.05%,0.00%, 8.23%, 12.77%, 0.00%, 0.00%, 0.00%, 0.00%, 67.65%, 1.78%,0.00%, 12.40%, 18.18%, 0.00%, 0.00%, 0.00%, 0.00%, 488.0, 0.0, 33.0, 0.0, 208.0, 0.0, 831.0, 9.886, 398
6, B-SLICE,    6, 32.11,     256664, 0,-4868429.00,30.271,14, 4 ,8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 35.87%, 49.79%,  0.00%,  1.34%,  6.18%,  6.83%, 18078.52, 1094.11, 1705.43, 41655.69 , 3, 231, 90.89, 86, 164, 131.96, 70, 189, 125.93, 0.00%, 14.71%,0.00%, 22.08%, 63.31%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 14.09%,0.00%, 26.45%, 59.47%, 0.00%, 0.00%, 0.00%, 0.00%, 3.0, 0.0, 524.0, 23.0, 157.0, 0.0, 1353.0, 6.991, 357
7, b-SLICE,    5, 31.88,      40200, 0,1.83,29.741,16, 4 ,6 8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  7.80%, 11.39%,  0.00%,  1.26%, 66.49%, 13.06%, 13358.68, 861.34, 1476.13, 15323.13 , 4, 214, 84.85, 92, 161, 131.90, 74, 184, 126.40, 0.00%, 89.52%,0.00%, 3.02%, 7.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 55.71%,0.00%, 17.13%, 27.27%, 0.00%, 0.00%, 0.00%, 0.00%, 3.0, 0.0, 519.0, 20.0, 65.0, 4.0, 1367.0, 3.930, 173
8, b-SLICE,    7, 32.70,     145760, 0,-5163026.00,29.741,15, 6 ,8 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%, 16.52%, 36.37%,  0.00%,  3.63%, 29.25%, 14.24%, 17575.71, 1050.97, 1566.25, 25984.46 , 0, 248, 96.82, 89, 165, 132.11, 65, 189, 125.85, 0.00%, 63.86%,0.00%, 17.40%, 18.74%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 32.96%,0.00%, 28.46%, 38.55%, 0.00%, 0.00%, 0.00%, 0.00%, 0.0, 0.0, 519.0, 14.0, 99.0, 0.0, 1351.0, 6.649, 353
9, P-SLICE,   12, 32.03,     254968, 0,-5306095.00,28.000,11, 8 , -, 0.82%,  1.48%,  2.54%, 1.64%,  1.25%,  5.62%, 0.00%, 11.34%, 38.80%,  0.00%,  3.06%, 20.75%, 12.70%, 18974.94, 1125.36, 1606.56, 37471.41 , 5, 247, 97.37, 84, 165, 131.90, 64, 195, 126.11, 13.14%, 56.30%,0.00%, 12.45%, 18.33%, 0.00%, 0.00%, 0.00%, 0.00%, 13.51%, 25.03%,0.00%, 22.34%, 39.19%, 0.00%, 0.00%, 0.00%, 0.00%, 499.0, 0.0, 18.0, 0.0, 115.0, 0.0, 1082.0, 9.851, 588
