Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, SSIM, SSIM(dB), Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
10, P-SLICE,   10, 32.00,        752, 0,59.59,40.940, 49.330, 49.416, 43.048, 0.949622, 12.978,30, 9 7 4 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.22%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 96.54%,  2.38%,  0.87%,  0.00%, 21461.81, 1538.62, 5733.01, 21465.15 , 19, 253, 118.65, 75, 149, 131.00, 90, 180, 129.23, 0.00%, 99.78%,0.00%, 0.00%, 0.22%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 3.0, 0.0, 41.0, 0.0, 32.0, 0.0, 345.0, 6.131, 18
11, P-SLICE,   15, 32.00,       6216, 0,5.22,41.009, 49.384, 49.543, 43.123, 0.950080, 13.017,26, 10 9 7 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.16%,  0.00%,  0.00%, 0.00%,  0.00%,  0.96%, 0.00%,  9.73%,  1.59%,  2.39%, 10.21%,  0.00%,  0.32%,  0.48%,  2.23%, 59.81%,  4.63%,  1.75%,  5.74%, 21224.76, 1507.13, 5662.84, 23207.68 , 18, 253, 117.65, 76, 149, 130.98, 90, 179, 129.22, 0.00%, 86.01%,0.00%, 3.44%, 10.55%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 75.61%,0.00%, 7.32%, 17.07%, 0.00%, 0.00%, 0.00%, 0.00%, 3.33%, 46.67%,0.00%, 23.33%, 26.67%, 0.00%, 0.00%, 0.00%, 0.00%, 5.00%, 41.67%,0.00%, 31.67%, 21.67%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 19.0, 12.0, 18.0, 1.0, 46.0, 0.0, 335.0, 4.864, 47
12, B-SLICE,   13, 33.00,       2672, 0,5.20,40.993, 49.368, 49.580, 43.113, 0.950016, 13.012,29, 10 9 7 ,15 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.18%, 0.00%,  0.00%,  0.00%, 0.00%,  1.08%,  1.08%,  1.62%,  4.68%,  0.00%,  0.72%,  1.44%,  3.06%, 78.38%,  2.52%,  2.88%,  2.34%, 21226.38, 1503.66, 5675.20, 21633.40 , 18, 253, 117.66, 76, 149, 130.98, 90, 179, 129.22, 0.00%, 98.63%,0.00%, 0.68%, 0.68%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 75.00%,0.00%, 8.33%, 16.67%, 0.00%, 0.00%, 0.00%, 0.00%, 2.94%, 70.59%,0.00%, 23.53%, 2.94%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 53.57%,0.00%, 28.57%, 17.86%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 9.0, 19.0, 8.0, 38.0, 0.0, 353.0, 2.947, 14
13, b-SLICE,   11, 34.00,       1296, 0,5.32,40.890, 49.324, 49.450, 43.014, 0.949457, 12.963,32, 10 7 ,13 15 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.41%,  0.41%,  1.85%,  0.00%,  0.00%,  1.03%,  0.62%,  0.00%, 91.15%,  1.65%,  1.23%,  1.65%, 21704.88, 1533.75, 5773.83, 21803.70 , 19, 253, 118.65, 75, 149, 131.00, 90, 180, 129.23, 0.00%, 99.55%,0.00%, 0.22%, 0.22%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 86.67%,0.00%, 13.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 50.00%,0.00%, 38.89%, 11.11%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 11.0, 23.0, 12.0, 34.0, 2.0, 371.0, 2.382, 6
14, b-SLICE,   12, 34.00,       1712, 0,3.91,40.961, 49.371, 49.563, 43.088, 0.949936, 13.005,32, 10 7 ,13 15 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  2.02%,  2.22%,  0.61%,  0.61%,  0.00%,  0.61%,  1.01%,  0.20%, 86.87%,  4.44%,  1.41%,  0.00%, 21355.27, 1505.98, 5664.19, 21516.17 , 19, 253, 117.65, 76, 149, 130.98, 90, 179, 129.22, 0.00%, 97.73%,0.00%, 1.36%, 0.91%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 69.44%,0.00%, 13.89%, 16.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 80.00%,0.00%, 20.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 25.00%,0.00%, 50.00%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 7.0, 24.0, 12.0, 35.0, 2.0, 369.0, 2.209, 6
15, b-SLICE,   14, 34.00,        896, 0,5.17,40.980, 49.387, 49.560, 43.103, 0.950030, 13.013,31, 13 10 7 ,15 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%,  0.00%,  0.43%,  0.00%,  0.00%,  0.00%,  0.00%, 95.30%,  3.21%,  0.64%,  0.43%, 21257.54, 1503.70, 5707.61, 21260.87 , 18, 253, 117.65, 76, 149, 130.98, 90, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 50.00%,0.00%, 25.00%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 23.0, 9.0, 40.0, 1.0, 367.0, 2.596, 3
16, P-SLICE,   16, 32.00,        784, 0,59.25,41.011, 49.384, 49.543, 43.124, 0.950088, 13.018,30, 15 13 10 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 96.75%,  2.38%,  0.87%,  0.00%, 21112.74, 1507.00, 5697.31, 21112.74 , 18, 253, 117.65, 76, 149, 130.98, 90, 179, 129.22, 0.00%, 100.45%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 18.0, 0.0, 23.0, 0.0, 361.0, 4.969, 10
17, P-SLICE,   21, 32.00,       5232, 0,5.19,40.975, 49.320, 49.500, 43.084, 0.949928, 13.004,26, 16 15 13 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.16%,  0.16%,  1.96%, 0.00%,  0.98%,  0.16%,  2.78%,  9.80%,  0.00%,  0.33%,  0.65%,  1.47%, 70.75%,  4.08%,  2.61%,  4.08%, 21364.54, 1526.06, 5711.85, 23189.84 , 19, 253, 117.63, 76, 150, 130.98, 90, 179, 129.22, 0.00%, 98.63%,0.00%, 0.23%, 1.14%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 96.43%,0.00%, 3.57%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 54.05%,0.00%, 24.32%, 21.62%, 0.00%, 0.00%, 0.00%, 0.00%, 12.96%, 31.48%,0.00%, 22.22%, 33.33%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 1.0, 0.0, 15.0, 2.0, 36.0, 0.0, 346.0, 5.391, 30
18, B-SLICE,   19, 33.00,       2120, 0,4.96,40.965, 49.337, 49.525, 43.082, 0.949964, 13.007,29, 16 15 13 ,21 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.37%,  2.05%,  3.72%,  0.00%,  0.37%,  0.37%,  0.56%, 82.31%,  3.17%,  3.91%,  3.17%, 21365.09, 1518.62, 5721.24, 21696.51 , 19, 253, 117.64, 76, 150, 130.98, 90, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 90.48%,0.00%, 9.52%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 67.65%,0.00%, 29.41%, 2.94%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 50.00%,0.00%, 30.00%, 20.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 4.0, 24.0, 9.0, 39.0, 0.0, 370.0, 3.049, 12
19, b-SLICE,   17, 34.00,       1552, 0,5.15,40.965, 49.372, 49.543, 43.088, 0.949983, 13.009,32, 16 13 ,19 21 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.20%, 0.00%,  0.00%,  0.40%,  0.80%,  1.00%,  0.00%,  0.20%,  0.60%,  1.00%, 89.36%,  2.21%,  2.41%,  1.81%, 21350.28, 1509.29, 5719.97, 21590.25 , 18, 253, 117.65, 76, 149, 130.98, 90, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 85.71%,0.00%, 14.29%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 78.95%,0.00%, 10.53%, 10.53%, 0.00%, 0.00%, 0.00%, 0.00%, 5.00%, 70.00%,0.00%, 15.00%, 10.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 6.0, 28.0, 14.0, 31.0, 2.0, 392.0, 2.538, 4
