Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, SSIM, SSIM(dB), Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
20, b-SLICE,   18, 34.00,       1568, 0,5.17,40.939, 49.351, 49.524, 43.064, 0.949868, 12.999,32, 16 13 ,19 21 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.20%,  1.59%,  2.18%,  0.00%,  0.20%,  0.79%,  1.39%, 88.29%,  2.18%,  1.98%,  1.19%, 21476.86, 1516.16, 5733.78, 21654.12 , 19, 253, 117.65, 76, 150, 130.98, 90, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 92.31%,0.00%, 0.00%, 7.69%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 63.64%,0.00%, 27.27%, 9.09%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 54.17%,0.00%, 29.17%, 16.67%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 3.0, 42.0, 14.0, 33.0, 0.0, 401.0, 2.902, 2
21, b-SLICE,   20, 34.00,       1184, 0,5.03,40.959, 49.339, 49.521, 43.077, 0.949917, 13.003,31, 19 16 13 ,21 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.20%, 0.00%,  0.20%,  0.20%,  0.80%,  1.60%,  0.00%,  0.60%,  1.60%,  1.60%, 88.62%,  1.80%,  2.20%,  0.60%, 21369.34, 1518.80, 5736.81, 21423.20 , 19, 253, 117.64, 76, 150, 130.99, 90, 179, 129.22, 0.00%, 99.77%,0.00%, 0.00%, 0.23%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 92.31%,0.00%, 7.69%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 82.61%,0.00%, 13.04%, 4.35%, 0.00%, 0.00%, 0.00%, 0.00%, 5.00%, 55.00%,0.00%, 20.00%, 20.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 42.0, 12.0, 37.0, 1.0, 397.0, 3.724, 37
22, P-SLICE,   22, 32.00,        872, 0,59.36,40.980, 49.326, 49.505, 43.089, 0.949942, 13.005,30, 21 19 16 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.22%,  0.22%,  0.22%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 95.70%,  3.01%,  0.65%,  0.00%, 21259.34, 1525.75, 5733.68, 21276.51 , 19, 253, 117.63, 76, 150, 130.98, 90, 179, 129.22, 0.00%, 99.78%,0.00%, 0.00%, 0.22%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 93.33%,0.00%, 0.00%, 6.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 75.00%,0.00%, 0.00%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 11.0, 0.0, 21.0, 0.0, 24.0, 0.0, 391.0, 6.664, 53
23, P-SLICE,   27, 32.00,       5136, 0,5.19,40.952, 49.299, 49.488, 43.062, 0.949858, 12.998,26, 22 21 19 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.16%,  0.32%, 0.32%,  0.00%,  1.59%, 0.00%,  0.16%,  0.32%,  2.22%, 12.06%,  0.00%,  0.00%,  0.32%,  0.79%, 69.52%,  3.97%,  2.70%,  5.56%, 21452.56, 1531.87, 5740.54, 22760.47 , 19, 253, 117.64, 76, 149, 130.98, 90, 179, 129.22, 0.00%, 99.77%,0.00%, 0.00%, 0.23%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 92.59%,0.00%, 0.00%, 7.41%, 0.00%, 0.00%, 0.00%, 0.00%, 8.33%, 52.78%,0.00%, 27.78%, 11.11%, 0.00%, 0.00%, 0.00%, 0.00%, 9.38%, 31.25%,0.00%, 30.47%, 28.91%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 11.0, 0.0, 13.0, 0.0, 33.0, 0.0, 358.0, 5.296, 56
24, B-SLICE,   25, 33.00,       2424, 0,5.21,40.948, 49.304, 49.492, 43.061, 0.949868, 12.999,29, 22 21 19 ,27 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.18%,  0.00%,  2.72%,  5.80%,  0.00%,  0.00%,  0.72%,  1.63%, 80.25%,  2.17%,  2.36%,  4.17%, 21432.33, 1530.04, 5741.17, 21875.97 , 19, 253, 117.64, 76, 149, 130.98, 90, 179, 129.22, 0.00%, 99.77%,0.00%, 0.23%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 53.12%,0.00%, 34.38%, 12.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 50.00%,0.00%, 31.25%, 18.75%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 3.0, 19.0, 8.0, 31.0, 0.0, 391.0, 2.900, 6
25, b-SLICE,   23, 34.00,       1504, 0,5.02,40.948, 49.341, 49.494, 43.066, 0.949830, 12.996,32, 22 19 ,25 27 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.20%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.60%,  1.00%,  1.60%,  0.00%,  0.40%,  0.80%,  0.40%, 88.82%,  1.60%,  2.59%,  2.00%, 21416.57, 1523.13, 5755.91, 21718.32 , 19, 253, 117.64, 76, 149, 130.98, 90, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 76.92%,0.00%, 23.08%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 4.35%, 73.91%,0.00%, 8.70%, 13.04%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 60.00%,0.00%, 20.00%, 20.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 7.0, 26.0, 10.0, 33.0, 0.0, 417.0, 2.329, 1
26, b-SLICE,   24, 34.00,       1576, 0,5.01,40.916, 49.303, 49.484, 43.035, 0.949791, 12.992,32, 22 19 ,25 27 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.20%,  0.00%,  0.20%, 0.00%,  0.00%,  0.39%,  1.57%,  2.35%,  0.00%,  0.39%,  1.37%,  2.16%, 87.45%,  0.78%,  1.76%,  1.37%, 21588.15, 1531.63, 5761.86, 21792.97 , 19, 253, 117.64, 76, 149, 130.99, 90, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 75.00%,0.00%, 12.50%, 12.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 66.67%,0.00%, 25.00%, 8.33%, 0.00%, 0.00%, 0.00%, 0.00%, 6.25%, 56.25%,0.00%, 15.62%, 21.88%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 3.0, 40.0, 10.0, 33.0, 0.0, 427.0, 2.580, 6
27, b-SLICE,   26, 34.00,       1056, 0,5.18,40.925, 49.294, 49.501, 43.043, 0.949757, 12.989,31, 25 22 19 ,27 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.62%,  0.00%,  0.42%,  0.00%,  0.42%,  0.00%,  0.00%, 92.92%,  1.67%,  1.88%,  2.08%, 21531.33, 1530.31, 5777.24, 21586.50 , 19, 253, 117.64, 76, 149, 130.98, 90, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 76.92%,0.00%, 15.38%, 7.69%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 83.33%,0.00%, 8.33%, 8.33%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 40.0, 7.0, 32.0, 0.0, 424.0, 2.907, 7
28, P-SLICE,   28, 32.00,       1064, 0,39.66,40.961, 49.300, 49.489, 43.070, 0.949894, 13.001,30, 27 25 22 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.63%,  0.21%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 94.09%,  1.90%,  3.16%,  0.00%, 21356.66, 1531.41, 5748.11, 21381.28 , 19, 253, 117.64, 76, 149, 130.98, 90, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 75.00%,0.00%, 0.00%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 93.75%,0.00%, 6.25%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 16.0, 0.0, 22.0, 0.0, 23.0, 0.0, 350.0, 7.176, 43
29, P-SLICE,   33, 32.00,       5456, 0,5.16,40.968, 49.328, 49.463, 43.075, 0.950321, 13.038,26, 28 27 25 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.33%,  0.16%,  1.81%, 0.00%,  0.82%,  0.33%,  2.63%, 10.51%,  0.00%,  0.16%,  0.16%,  0.99%, 71.43%,  3.61%,  2.46%,  4.60%, 21387.78, 1534.37, 5669.76, 23588.16 , 18, 253, 117.65, 76, 150, 130.99, 90, 179, 129.22, 0.00%, 98.86%,0.00%, 0.00%, 1.14%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 92.00%,0.00%, 4.00%, 4.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 50.00%,0.00%, 25.00%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%, 12.50%, 30.36%,0.00%, 28.57%, 28.57%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 10.0, 0.0, 21.0, 0.0, 43.0, 0.0, 238.0, 5.013, 58
30, B-SLICE,   31, 33.00,       3288, 0,5.19,41.013, 49.320, 49.497, 43.112, 0.950903, 13.089,29, 28 27 25 ,33 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.52%,  0.57%,  3.03%,  4.92%,  0.00%,  0.38%,  0.57%,  2.65%, 82.58%,  1.89%,  1.14%,  0.76%, 21154.62, 1526.26, 5612.79, 21846.01 , 18, 253, 117.67, 76, 149, 130.99, 90, 179, 129.23, 0.00%, 98.20%,0.00%, 0.68%, 1.13%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 80.00%,0.00%, 13.33%, 6.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 36.00%,0.00%, 44.00%, 20.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 40.91%,0.00%, 36.36%, 22.73%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 2.0, 37.0, 16.0, 48.0, 2.0, 282.0, 2.551, 15
31, b-SLICE,   29, 34.00,       1632, 0,5.06,40.925, 49.305, 49.487, 43.043, 0.949808, 12.994,32, 28 25 ,31 33 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.39%,  1.54%,  2.50%,  0.00%,  0.58%,  0.96%,  2.31%, 85.74%,  1.35%,  1.73%,  2.89%, 21537.07, 1530.82, 5758.59, 21716.80 , 19, 253, 117.64, 76, 149, 130.99, 90, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 83.33%,0.00%, 16.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 63.64%,0.00%, 22.73%, 13.64%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 67.50%,0.00%, 15.00%, 17.50%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 10.0, 31.0, 22.0, 30.0, 5.0, 382.0, 1.800, 6
32, b-SLICE,   30, 34.00,       1736, 0,4.28,41.022, 49.309, 49.472, 43.114, 0.951315, 13.126,32, 28 25 ,31 33 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.19%, 0.00%,  0.00%,  0.39%,  1.56%,  2.14%,  0.00%,  0.19%,  0.39%,  0.97%, 86.74%,  1.75%,  2.73%,  2.92%, 21056.12, 1532.57, 5574.27, 21278.95 , 18, 253, 117.66, 76, 150, 131.02, 90, 179, 129.25, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 83.33%,0.00%, 16.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 66.67%,0.00%, 20.83%, 12.50%, 0.00%, 0.00%, 0.00%, 0.00%, 3.12%, 62.50%,0.00%, 31.25%, 3.12%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 6.0, 46.0, 22.0, 35.0, 2.0, 387.0, 2.167, 2
33, b-SLICE,   32, 34.00,       1096, 0,5.10,40.950, 49.328, 49.489, 43.064, 0.950434, 13.048,31, 31 28 25 ,33 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.21%,  1.23%,  0.41%,  0.00%,  0.21%,  1.03%,  0.62%, 91.77%,  1.85%,  1.23%,  1.44%, 21425.88, 1526.24, 5676.67, 21506.70 , 18, 253, 117.66, 76, 150, 130.99, 90, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 90.91%,0.00%, 9.09%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 64.71%,0.00%, 35.29%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 83.33%,0.00%, 16.67%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 44.0, 18.0, 30.0, 2.0, 300.0, 2.049, 0
34, P-SLICE,   34, 32.00,       1064, 0,39.46,40.980, 49.328, 49.463, 43.084, 0.950357, 13.041,30, 33 31 28 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.21%,  0.84%,  0.21%,  0.21%,  0.00%,  0.00%,  0.00%,  0.00%, 92.87%,  3.77%,  1.26%,  0.63%, 21266.65, 1530.80, 5682.12, 21310.09 , 18, 253, 117.65, 76, 150, 130.99, 90, 179, 129.22, 0.00%, 99.77%,0.00%, 0.00%, 0.23%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 81.82%,0.00%, 4.55%, 13.64%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 85.71%,0.00%, 0.00%, 14.29%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 75.00%,0.00%, 0.00%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 7.0, 0.0, 22.0, 0.0, 27.0, 0.0, 281.0, 6.889, 20
35, P-SLICE,   39, 32.00,       5872, 0,5.17,40.949, 49.291, 49.421, 43.051, 0.949971, 13.008,26, 34 33 31 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.15%,  0.00%,  0.15%, 0.15%,  0.15%,  1.67%, 0.00%,  0.61%,  0.76%,  2.44%, 13.39%,  0.00%,  0.00%,  0.15%,  1.83%, 65.91%,  4.26%,  3.04%,  5.33%, 21464.13, 1547.08, 5714.84, 23327.79 , 19, 253, 117.64, 76, 149, 130.99, 89, 179, 129.22, 0.00%, 98.86%,0.00%, 0.23%, 0.69%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 84.85%,0.00%, 9.09%, 6.06%, 0.00%, 0.00%, 0.00%, 0.00%, 5.13%, 53.85%,0.00%, 25.64%, 15.38%, 0.00%, 0.00%, 0.00%, 0.00%, 8.78%, 31.76%,0.00%, 28.38%, 31.08%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 10.0, 1.0, 15.0, 0.0, 34.0, 0.0, 227.0, 5.196, 24
36, B-SLICE,   37, 33.00,       2856, 0,5.18,40.926, 49.317, 49.483, 43.045, 0.949988, 13.009,29, 34 33 31 ,39 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.56%, 0.00%,  0.56%,  0.00%,  3.20%,  4.90%,  0.00%,  0.38%,  0.56%,  0.38%, 83.05%,  2.26%,  1.69%,  2.45%, 21555.12, 1529.38, 5716.63, 22213.24 , 19, 253, 117.64, 76, 150, 130.99, 90, 179, 129.22, 0.00%, 99.32%,0.00%, 0.23%, 0.45%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 41.38%,0.00%, 44.83%, 13.79%, 0.00%, 0.00%, 0.00%, 0.00%, 6.82%, 34.09%,0.00%, 34.09%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 4.0, 35.0, 8.0, 54.0, 0.0, 290.0, 3.462, 7
37, b-SLICE,   35, 34.00,       1768, 0,4.99,40.931, 49.314, 49.482, 43.048, 0.950125, 13.021,32, 34 31 ,37 39 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.19%,  2.50%,  2.50%,  0.00%,  0.00%,  0.39%,  2.31%, 85.74%,  2.12%,  1.35%,  2.89%, 21514.35, 1529.97, 5698.03, 21804.01 , 18, 253, 117.65, 76, 150, 130.99, 90, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 91.67%,0.00%, 0.00%, 8.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 40.91%,0.00%, 36.36%, 22.73%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 67.50%,0.00%, 17.50%, 15.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 15.0, 29.0, 18.0, 40.0, 2.0, 317.0, 2.087, 4
38, b-SLICE,   36, 34.00,       1832, 0,4.99,40.899, 49.329, 49.501, 43.028, 0.949916, 13.003,32, 34 31 ,37 39 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.38%,  2.49%,  2.87%,  0.00%,  0.38%,  1.15%,  1.92%, 85.06%,  2.11%,  1.53%,  2.11%, 21693.00, 1524.04, 5721.74, 22119.80 , 19, 253, 117.65, 76, 150, 130.99, 90, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 86.67%,0.00%, 13.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 51.85%,0.00%, 29.63%, 18.52%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 58.33%,0.00%, 19.44%, 22.22%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 11.0, 40.0, 18.0, 31.0, 3.0, 327.0, 1.804, 2
39, b-SLICE,   38, 34.00,       1368, 0,5.18,40.919, 49.314, 49.464, 43.036, 0.949898, 13.001,31, 37 34 31 ,39 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.21%,  0.62%,  0.62%,  0.83%,  0.00%,  0.00%,  0.42%,  0.00%, 92.92%,  0.83%,  2.71%,  0.83%, 21570.27, 1533.15, 5738.86, 21717.26 , 19, 253, 117.64, 76, 149, 130.99, 89, 179, 129.22, 0.00%, 99.78%,0.00%, 0.22%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 57.14%,0.00%, 28.57%, 14.29%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 83.33%,0.00%, 11.11%, 5.56%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 50.00%,0.00%, 37.50%, 12.50%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 7.0, 44.0, 18.0, 31.0, 2.0, 295.0, 1.844, 9
40, P-SLICE,   40, 32.00,        768, 0,39.54,40.951, 49.291, 49.421, 43.052, 0.949977, 13.008,30, 39 37 34 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%,  0.21%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 95.30%,  2.99%,  1.50%,  0.00%, 21403.52, 1544.82, 5716.43, 21404.96 , 19, 253, 117.64, 76, 149, 130.99, 89, 179, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 87.50%,0.00%, 0.00%, 12.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 6.0, 0.0, 24.0, 0.0, 28.0, 0.0, 283.0, 7.624, 49
41, P-SLICE,   45, 32.00,       5720, 0,5.19,40.913, 49.302, 49.445, 43.028, 0.949805, 12.993,26, 40 39 37 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.16%, 0.64%,  0.16%,  1.28%, 0.00%,  0.64%,  0.16%,  2.24%, 12.66%,  0.00%,  0.32%,  0.32%,  0.48%, 70.03%,  2.56%,  3.04%,  5.29%, 21636.20, 1539.82, 5738.10, 23509.01 , 19, 253, 117.64, 75, 150, 130.99, 89, 180, 129.22, 0.00%, 99.09%,0.00%, 0.00%, 0.91%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 94.74%,0.00%, 5.26%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 2.78%, 58.33%,0.00%, 27.78%, 11.11%, 0.00%, 0.00%, 0.00%, 0.00%, 10.16%, 28.12%,0.00%, 32.03%, 29.69%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 11.0, 0.0, 15.0, 0.0, 38.0, 0.0, 249.0, 4.502, 22
42, B-SLICE,   43, 33.00,       2640, 0,5.23,40.906, 49.302, 49.445, 43.023, 0.949837, 12.996,29, 40 39 37 ,45 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.18%, 0.00%,  0.00%,  0.54%, 0.00%,  0.00%,  0.54%,  2.17%,  5.43%,  0.00%,  0.91%,  0.54%,  0.91%, 80.07%,  2.36%,  2.36%,  3.99%, 21650.32, 1538.85, 5731.58, 22132.43 , 18, 253, 117.64, 75, 149, 130.98, 89, 180, 129.22, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 85.71%,0.00%, 14.29%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 3.45%, 55.17%,0.00%, 31.03%, 10.34%, 0.00%, 0.00%, 0.00%, 0.00%, 5.00%, 45.00%,0.00%, 28.33%, 21.67%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 1.0, 22.0, 9.0, 36.0, 0.0, 269.0, 1.913, 3
43, b-SLICE,   41, 34.00,       1640, 0,5.00,40.906, 49.303, 49.425, 43.020, 0.949814, 12.994,32, 40 37 ,43 45 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.20%, 0.00%,  0.20%,  0.60%,  1.00%,  1.40%,  0.00%,  0.60%,  1.00%,  0.20%, 88.62%,  1.40%,  2.59%,  2.20%, 21649.34, 1541.97, 5743.23, 21876.73 , 18, 253, 117.64, 75, 149, 130.98, 89, 180, 129.22, 0.00%, 99.77%,0.00%, 0.23%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 76.92%,0.00%, 23.08%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 78.26%,0.00%, 13.04%, 8.70%, 0.00%, 0.00%, 0.00%, 0.00%, 5.00%, 60.00%,0.00%, 25.00%, 10.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 3.0, 41.0, 15.0, 40.0, 2.0, 323.0, 2.762, 9
