Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, RateFactor, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 32x32, Inter 16x16, Inter 8x8, Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 25.65,     463608, 0,0.00,25.087,25,  -, -, 0.00%,  0.00%,  0.00%, 2.45%,  3.54%, 10.34%, 6.11%,  3.27%, 15.00%, 4.94%,  1.50%, 23.49%,29.37%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 12394.27, 1081.15, 3151.48, 87470.10 , 19, 252, 117.90, 76, 149, 130.95, 90, 179, 129.25, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 187.0, 0.0, 160.0, 0.0, 839.0, 0.0, 337.0, 6.182, 207
1, P-SLICE,    5, 31.30,       5432, 0,-1612577.00,28.000,21, 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.12%, 0.00%,  0.00%,  0.83%,  0.30%,  2.36%,  0.00%,  0.18%,  0.47%,  0.00%, 13.65%, 42.97%, 26.71%, 12.41%, 12562.02, 1053.82, 3546.73, 13116.59 , 18, 253, 117.90, 76, 150, 130.95, 90, 179, 129.25, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.12%,0.00%, 0.54%, 1.34%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 98.92%,0.00%, 0.00%, 1.08%, 0.00%, 0.00%, 0.00%, 0.00%, 0.79%, 83.33%,0.00%, 11.51%, 4.37%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 201.0, 96.0, 52.0, 44.0, 20.0, 32.0, 314.0, 2.124, 5
2, B-SLICE,    3, 34.75,        968, 0,-1611650.00,30.271,24, 0 ,5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.13%,  0.13%,  0.13%,  0.13%,  0.00%,  0.00%,  0.00%,  0.00%, 47.93%, 47.66%,  3.48%,  0.40%, 12706.26, 1052.63, 3577.39, 12710.67 , 18, 253, 117.90, 76, 149, 130.95, 90, 179, 129.25, 0.00%, 99.72%,0.00%, 0.00%, 0.28%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.72%,0.00%, 0.00%, 0.28%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 96.30%,0.00%, 3.70%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 75.00%,0.00%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 214.0, 116.0, 33.0, 16.0, 22.0, 8.0, 343.0, 2.598, 33
3, b-SLICE,    1, 36.00,        848, 0,5.12,30.271,27, 0 ,3 5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%,  0.14%,  0.14%,  0.00%,  0.00%,  0.00%,  0.00%, 52.56%, 45.87%,  0.85%,  0.43%, 12438.88, 1047.92, 3565.07, 12438.88 , 18, 252, 117.91, 76, 149, 130.94, 90, 179, 129.25, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 85.71%,0.00%, 14.29%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 75.00%,0.00%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 227.0, 118.0, 32.0, 6.0, 26.0, 0.0, 369.0, 3.236, 12
4, b-SLICE,    2, 36.00,        952, 0,-1612793.00,30.271,27, 0 ,3 5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.14%,  0.14%,  0.14%,  0.00%,  0.00%,  0.00%,  0.00%, 52.56%, 45.73%,  0.85%,  0.43%, 12585.15, 1052.41, 3575.93, 12597.34 , 18, 253, 117.90, 76, 150, 130.95, 90, 179, 129.25, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 99.69%,0.00%, 0.31%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 85.71%,0.00%, 14.29%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 75.00%,0.00%, 25.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2.0, 0.0, 39.0, 2.0, 38.0, 0.0, 368.0, 5.858, 68
5, b-SLICE,    4, 36.00,        792, 0,-1612577.00,30.271,26, 3 0 ,5 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 54.77%, 45.23%,  0.00%,  0.00%, 12740.05, 1053.97, 3587.56, 12740.05 , 18, 253, 117.90, 76, 150, 130.95, 90, 179, 129.25, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2.0, 0.0, 31.0, 0.0, 28.0, 0.0, 364.0, 5.611, 3
6, P-SLICE,   10, 31.48,       6064, 0,-1615159.00,28.000,21, 5 3 , -, 0.00%,  0.00%,  0.00%, 0.08%,  0.00%,  0.08%, 0.00%,  0.00%,  0.00%, 0.17%,  0.00%,  0.25%, 0.00%,  0.58%,  1.65%,  0.33%,  3.63%,  0.00%,  0.41%,  0.00%,  0.00%, 21.45%, 53.88%, 15.26%,  2.23%, 12568.94, 1048.25, 3601.36, 13329.74 , 19, 252, 117.89, 76, 149, 130.95, 90, 179, 129.25, 0.00%, 97.38%,0.00%, 0.00%, 2.62%, 0.00%, 0.00%, 0.00%, 0.00%, 0.29%, 96.76%,0.00%, 0.44%, 2.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.88%,0.00%, 0.53%, 1.59%, 0.00%, 0.00%, 0.00%, 0.00%, 6.58%, 35.53%,0.00%, 40.79%, 17.11%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2.0, 0.0, 25.0, 0.0, 34.0, 0.0, 330.0, 5.824, 132
7, B-SLICE,    8, 35.00,       1280, 0,-1613896.00,30.271,24, 5 3 ,10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%,  0.22%,  0.44%,  0.00%,  0.00%,  0.00%,  0.00%, 33.66%, 60.02%,  5.23%,  0.44%, 12819.18, 1048.91, 3608.73, 12831.99 , 19, 252, 117.89, 76, 150, 130.95, 90, 179, 129.25, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 96.00%,0.00%, 4.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 50.00%,0.00%, 37.50%, 12.50%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 2.0, 0.0, 24.0, 1.0, 32.0, 0.0, 352.0, 7.422, 90
8, b-SLICE,    6, 35.95,       1032, 0,5.32,30.271,27, 5 3 ,8 10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.15%,  0.00%,  0.15%,  0.15%,  0.00%,  0.00%,  0.00%,  0.00%, 55.75%, 36.83%,  5.97%,  1.02%, 12804.06, 1049.72, 3611.58, 12807.15 , 18, 253, 117.90, 76, 149, 130.95, 90, 179, 129.25, 0.00%, 99.74%,0.00%, 0.00%, 0.26%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 97.62%,0.00%, 2.38%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 87.50%,0.00%, 12.50%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 27.0, 8.0, 34.0, 0.0, 384.0, 2.804, 16
9, b-SLICE,    7, 36.00,        952, 0,-1612380.00,30.271,27, 5 3 ,8 10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%,  0.00%,  0.14%,  0.00%,  0.00%,  0.00%,  0.00%, 55.03%, 36.78%,  6.47%,  1.58%, 12782.65, 1050.03, 3613.12, 12782.65 , 18, 252, 117.90, 76, 149, 130.95, 90, 179, 129.25, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 91.67%,0.00%, 8.33%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,0.00%, 0.0, 0.0, 53.0, 0.0, 74.0, 0.0, 394.0, 5.004, 46
